"db","subgroup","outcome","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"MIMIC","Overall","aki1_48h",4690,0.353518123667377,0.251599147121535,1.62659876570336,1.48796313926891,1.77815126918243,9.77371480483589e-27,0.101918976545842,0.0834390309521082,0.120398922139576,4.47447239461844e-27
"MIMIC","Overall","aki2_48h",4690,0.0501066098081023,0.0285714285714286,1.79349046012056,1.44482660636853,2.22629346411897,1.18063528668333e-07,0.0215351812366737,0.0136781120216185,0.029392250451729,7.96895920105361e-08
"MIMIC","Overall","aki3_48h",4690,0.00959488272921109,0.00810234541577825,1.18599512390371,0.7685973858131,1.83006663812075,0.440837750048645,0.00149253731343281,-0.00229820957161076,0.00528328419847638,0.440303173605659
"MIMIC","Overall","aki1_7d",4202,0.398381722989053,0.288910042836744,1.6298224302935,1.48817501680331,1.78495212209231,6.27596375345388e-26,0.109471680152308,0.0892965787421723,0.129646781562444,3.00330332099672e-26
"MIMIC","Overall","aki2_7d",4202,0.0825797239409805,0.0480723465016659,1.78243503319515,1.49025338711577,2.13190231609558,2.49143842557222e-10,0.0345073774393147,0.0239657742312147,0.0450489806474147,1.47511097207612e-10
"MIMIC","Overall","aki3_7d",4202,0.0233222275107092,0.0204664445502142,1.14286685155652,0.852734132972153,1.53171380138641,0.371444960457362,0.00285578296049504,-0.00340217771646127,0.00911374363745135,0.371115194356641
"MIMIC","Overall","aki2_rrt_48h",4690,0.0547974413646055,0.0326226012793177,1.71914591838458,1.40134082297362,2.10902489975772,2.0399971518746e-07,0.0221748400852878,0.0139110990280947,0.0304385811424809,1.47677300440973e-07
"MIMIC","Overall","aki2_rrt_7d",4202,0.0875773441218467,0.0506901475487863,1.79754652967097,1.50973140543083,2.14023071568156,4.48513637686163e-11,0.0368871965730604,0.026067064389158,0.0477073287569628,2.50903888286821e-11
"MIMIC","Overall","death_48h_all",5428,0.00571112748710391,0.00350036845983788,1.63520669310361,0.922572381455099,2.89831018456625,0.0921763745462698,0.00221075902726603,-0.000336545843485297,0.00475806389801735,0.0889626294605684
"MIMIC","Overall","death_48h_never",4097,0.004149377593361,0.00390529655845741,1.06276041661877,0.53617784406853,2.10650200418825,0.861565757949276,0.000244081034903591,-0.00249890115751919,0.00298706322732637,0.861548911017579
"MIMIC","Overall","death_48h_censored",4690,0.00554371002132196,0.00341151385927505,1.62848413279139,0.872392506830093,3.03987087233179,0.12569182699895,0.00213219616204693,-0.000570046339273462,0.00483443866336731,0.122009882817505
"MIMIC","Overall","death_7d_all",5428,0.012343404568902,0.0158437730287399,0.776308654670108,0.56278367685432,1.07084684951108,0.122854534833637,-0.00350036845983788,-0.00793514688921366,0.000934409969537907,0.121885878103688
"MIMIC","Overall","death_7d_never",4097,0.0107395655357579,0.00976324139614352,1.10108561541717,0.71594241147468,1.69341767305189,0.661043915266374,0.00097632413961434,-0.00338622272722067,0.00533887100644935,0.660932687665286
"MIMIC","Overall","death_7d_censored",4202,0.0116611137553546,0.00951927653498334,1.22765470708156,0.806693850309899,1.86828755325275,0.338390893240514,0.00214183722037126,-0.00223551049045407,0.00651918493119659,0.337572013073355
"MIMIC","Overall","hosp_mort_descriptive",5428,0.0241341193809875,0.0532424465733235,0.43976645413625,0.356468754490258,0.542528711836527,1.75323114550081e-14,-0.029108327192336,-0.0363438965290439,-0.0218727578556281,3.44738258069147e-15
"MIMIC","G1","aki1_48h",2380,0.265126050420168,0.270588235294118,0.972530887215244,0.855398855549443,1.10570211831783,0.670548088536759,-0.00546218487394955,-0.0306282386264123,0.0197038688785132,0.670557305189767
"MIMIC","G1","aki2_48h",2380,0.0441176470588235,0.0327731092436975,1.36213017751312,1.0103846229405,1.83632903585983,0.0425821085143052,0.011344537815126,0.000422747875267899,0.022266327754984,0.0418191582327815
"MIMIC","G1","aki3_48h",2380,0.00714285714285714,0.0100840336134454,0.706235025864611,0.378372184147349,1.31819391766852,0.274679633421925,-0.00294117647058821,-0.00819201678968578,0.00230966384850937,0.272319656858644
"MIMIC","G1","aki1_7d",2148,0.320297951582868,0.305400372439479,1.07176745740008,0.942009682332274,1.21939880691869,0.292492184495438,0.0148975791433892,-0.0128351450631727,0.0426303033499511,0.292454832160288
"MIMIC","G1","aki2_7d",2148,0.0614525139664804,0.0493482309124767,1.26134320751688,0.96965734983134,1.64077205976494,0.0835656890158453,0.0121042830540037,-0.00157562668822595,0.0257841927962334,0.0829453543086665
"MIMIC","G1","aki3_7d",2148,0.0130353817504655,0.0223463687150838,0.577830188679808,0.361115361806764,0.924601283310701,0.0222041867396967,-0.00931098696461826,-0.0171920137250676,-0.00142996020416896,0.0206254205964951
"MIMIC","G1","aki2_rrt_48h",2380,0.0453781512605042,0.0369747899159664,1.23807618437891,0.928774164431232,1.65038251173246,0.145344311769389,0.00840336134453784,-0.00288603261855718,0.0196927553076329,0.144646662126385
"MIMIC","G1","aki2_rrt_7d",2148,0.0628491620111732,0.0526070763500931,1.20774698675487,0.933614233348646,1.5623720503742,0.150707639493488,0.01024208566108,-0.00370656349527183,0.0241907348174318,0.150175038489743
"MIMIC","G1","death_48h_all",2746,0.00145666423889294,0.0032774945375091,0.443634006025297,0.136425921047217,1.44262270535771,0.176728901524224,-0.00182083029861617,-0.00439131759929288,0.000749657002060535,0.165076008311964
"MIMIC","G1","death_48h_never",2106,0.000474833808167142,0.00379867046533713,0.124584323098442,0.0155601903507834,0.997497666287574,0.0497205140995323,-0.00332383665716998,-0.00611172989021738,-0.000535943424122586,0.0194967837238398
"MIMIC","G1","death_48h_censored",2380,0.000840336134453782,0.00336134453781513,0.249369252308252,0.052881283722818,1.17593635439573,0.0792279223763777,-0.00252100840336135,-0.00512206057378101,8.00437670583185e-05,0.0575350475157802
