"db","subgroup","outcome","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"IUH","Overall","aki1_48h",1235,0.237246963562753,0.243724696356275,0.965155074027522,0.802431334596855,1.16087729473959,0.706559613973237,-0.00647773279352413,-0.0401997622829924,0.0272442966959442,0.706577311498847
"IUH","Overall","aki2_48h",1235,0.037246963562753,0.0396761133603239,0.936406858790657,0.621128949366315,1.41171620817991,0.753739986588571,-0.00242914979757073,-0.017603198851739,0.0127448992565975,0.753723637914188
"IUH","Overall","aki3_48h",1235,0.00890688259109312,0.0218623481781377,0.402081820728096,0.198501061072968,0.814453029551272,0.0114096317140295,-0.0129554655870446,-0.0226535904004436,-0.00325734077364555,0.0088906367289082
"IUH","Overall","aki1_7d",1069,0.269410664172124,0.275958840037418,0.967520996549695,0.79972750273517,1.1705198027615,0.734026106625618,-0.00654817586529656,-0.0443197843009036,0.0312234325703105,0.734047889942794
"IUH","Overall","aki2_7d",1069,0.0636108512628625,0.0626753975678204,1.01593928457088,0.716825711803725,1.4398655251041,0.929179637211524,0.000935453695042099,-0.0196938370999734,0.0215647444900576,0.929187233125212
"IUH","Overall","aki3_7d",1069,0.0215154349859682,0.0168381665107577,1.28388560569764,0.688584607830344,2.39384126478142,0.431771448502415,0.00467726847521042,-0.00695342835211747,0.0163079653025383,0.430660607057312
"IUH","Overall","aki2_rrt_48h",1235,0.0453441295546559,0.0728744939271255,0.604278594971062,0.428604079319371,0.85195787431624,0.00405058446311387,-0.0275303643724701,-0.0461071234018435,-0.0089536053430967,0.00370898880532815
"IUH","Overall","aki2_rrt_7d",1069,0.0720299345182413,0.0851262862488307,0.834212158812179,0.60805132888273,1.14449207304387,0.261222955703086,-0.0130963517305901,-0.0359122125873975,0.00971950912621725,0.260696753557911
"IUH","Overall","death_48h_all",1375,0.00872727272727273,0.0109090909090909,0.798239179196272,0.372157835078199,1.71213857977772,0.562721031846561,-0.00218181818181829,-0.00955447685694699,0.00519084049331041,0.56194190145367
"IUH","Overall","death_48h_never",1017,0.00688298918387414,0.0147492625368732,0.462970311789776,0.187880690194417,1.14083841919531,0.0942015753428608,-0.00786627335299953,-0.0168547149580994,0.00112216825210036,0.0864422447121993
"IUH","Overall","death_48h_censored",1235,0.00809716599190283,0.0121457489878543,0.663945580581825,0.297017238491097,1.48416885233195,0.318323494998144,-0.0040485829959512,-0.011945128479146,0.00384796248724361,0.315044485403053
"IUH","Overall","death_7d_all",1375,0.0189090909090909,0.0145454545454545,1.30578206078565,0.725264820540525,2.35095752886355,0.373836835913085,0.00436363636363647,-0.00522516696813325,0.0139524396954062,0.372498153772382
"IUH","Overall","death_7d_never",1017,0.0176991150442478,0.0176991150442478,1,0.517100908635457,1.93385852412992,0.999999999999994,-2.15398566421438e-18,-0.0114662725061776,0.0114662725061776,1
"IUH","Overall","death_7d_censored",1069,0.0187090739008419,0.0168381665107577,1.11322946613584,0.585349696417417,2.11716150509344,0.743620096998358,0.00187090739008416,-0.00933554893257532,0.0130773637127436,0.743533434313384
"IUH","Overall","hosp_mort_descriptive",1375,0.0327272727272727,0.0290909090909091,1.12922932329347,0.732523992734508,1.74077419611291,0.582046277934792,0.00363636363636387,-0.00930497233662208,0.0165776996093498,0.581858735331231
"IUH","G1","aki1_48h",481,0.16008316008316,0.214137214137214,0.699461693741599,0.504252135846342,0.970242119432394,0.0322786193609837,-0.054054054054056,-0.103277231590963,-0.00483087651714911,0.0316177953733043
"IUH","G1","aki2_48h",481,0.0311850311850312,0.0332640332640333,0.935488197427363,0.456817502918752,1.91572818890336,0.855307661706382,-0.0020790020790022,-0.024421078955793,0.0202630747977886,0.855319650965482
