"db","group_type","group_level","method","events_trt","events_ctl","sparse_lt20","hospital_eligibility","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"EICU","teachingstatus","Non-teaching","psm",235,221,FALSE,TRUE,1008,0.233134920634921,0.219246031746032,1.08260699045376,0.878541213507216,1.33407275351428,0.456372701275448,0.013888888888889,-0.0226496088955576,0.0504273866733356,0.456341420295635
"EICU","teachingstatus","Non-teaching","dr",235,221,FALSE,TRUE,1008,0.233134920634921,0.219246031746032,1.21875864680673,0.980107171965139,1.51552063045101,0.0751933814731959,0.0312365789617863,-0.00500679349431002,0.0674799514178827,0.0913288532495217
"EICU","teachingstatus","Teaching","psm",219,201,FALSE,TRUE,879,0.249146757679181,0.228668941979522,1.11926729986551,0.898651055313085,1.39404419673416,0.314438297883359,0.0204778156996586,-0.0194000961763925,0.0603557275757097,0.314321007456672
"EICU","teachingstatus","Teaching","dr",219,201,FALSE,TRUE,879,0.249146757679181,0.228668941979522,1.25888209372304,0.997990674910325,1.58797488367203,0.0520131598448913,0.0360503792951324,-0.00314396264452861,0.0752447212347935,0.0715946814302829
"EICU","numbedscategory","<100","psm",1,1,TRUE,FALSE,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","numbedscategory","<100","dr",1,1,TRUE,FALSE,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","numbedscategory",">= 500","psm",235,212,FALSE,TRUE,993,0.236656596173212,0.2134944612286,1.1421255040592,0.924910306847174,1.41035369307223,0.216929820833413,0.0231621349446122,-0.0135781073812711,0.0599023772704956,0.216737971788194
"EICU","numbedscategory",">= 500","dr",235,212,FALSE,TRUE,993,0.236656596173212,0.2134944612286,1.24888686003027,1.00126981177105,1.5577403521209,0.0486946736282764,0.0349603263469327,-0.00156374359553862,0.071484396289404,0.0607906896465961
"EICU","numbedscategory","100 - 249","psm",73,65,FALSE,TRUE,301,0.242524916943522,0.215946843853821,1.16248313090624,0.794000322370567,1.70197289795418,0.438895847962522,0.026578073089701,-0.0406569156983153,0.0938130618777172,0.438768747751541
"EICU","numbedscategory","100 - 249","dr",73,65,FALSE,TRUE,301,0.242524916943522,0.215946843853821,1.44262307664404,0.95147290452391,2.18730489472768,0.0843932033024598,0.0497097081958114,-0.015368779054686,0.114788195446309,0.134888523606924
