"db","population","arm","n_pair_members","n_time_order_valid","n_time_order_invalid_or_missing","n_missing_reference_or_baseline","n_early_reference_after_pair_baseline","n_same_timestamp","q25_dip","median_dip","q75_dip","mean_dip","fraction_baseline_lower_than_early","fraction_dip_ge_0_1"
"EICU","frozen_pair_members_pair_weighted","treated",1949,1452,497,0,497,509,0,0,0,0.0333677685950413,0.162534435261708,0.0971074380165289
"EICU","frozen_pair_members_pair_weighted","control",1949,1489,460,0,460,545,0,0,0,0.0331766286098052,0.190732034922767,0.118871725990598
