"db","outcome","egfr_cell","n_pairs","events_trt","events_ctl","sparse_lt20"
"IUH","aki1_48h","G3plus_lt60",221,107,57,FALSE
"IUH","aki1_48h","G2_60_89",533,109,141,FALSE
"IUH","aki1_48h","G1_ge90",481,77,103,FALSE
"IUH","aki1_7d","G3plus_lt60",184,98,54,FALSE
"IUH","aki1_7d","G2_60_89",463,110,136,FALSE
"IUH","aki1_7d","G1_ge90",422,80,105,FALSE
