"db","cut","variable_code","variable","raw_smd","smd","matched","treated_eligible","match_rate","max_smd","n_viol","mice_m","mice_logged_events"
"MIMIC",3,"last_hemoglobin","baseline (at ICU T0): hemoglobin",0.673295845233769,0.167148148114606,5427,5428,0.999815770081061,0.284896532830293,4,20,200
"MIMIC",3,"alb_cat","baseline (at ICU T0): serum albumin category",0.225492786288061,0.284896532830293,5427,5428,0.999815770081061,0.284896532830293,4,20,200
"MIMIC",3,"vaso_at_t0","baseline (at ICU T0): vasopressor status",0.702194323495083,0.0145808338311295,5427,5428,0.999815770081061,0.284896532830293,4,20,200
"MIMIC",3,"map_before_t0","baseline (at ICU T0): MAP",0.56783841918362,0.00459226079974625,5427,5428,0.999815770081061,0.284896532830293,4,20,200
"MIMIC",3,"vent_at_t0","baseline (at ICU T0): ventilation status",0.336925939287159,0.0694573620303929,5427,5428,0.999815770081061,0.284896532830293,4,20,200
"MIMIC",3,"surg_aortic","aortic surgery",0.113390116912995,0.0237992108830467,5427,5428,0.999815770081061,0.284896532830293,4,20,200
"MIMIC",2.5,"age","age",0.15302223721552,0.0128507729034631,5428,5428,1,0.252540411070446,3,20,200
"MIMIC",2.5,"is_female","sex",0.0185848873755447,0.0133474699258714,5428,5428,1,0.252540411070446,3,20,200
"MIMIC",2.5,"bmi","BMI",0.0334210614700415,0.0253778489488451,5428,5428,1,0.252540411070446,3,20,200
"MIMIC",2.5,"surg_cabg","CABG surgery",0.131430431179114,0.0181377117007416,5428,5428,1,0.252540411070446,3,20,200
"MIMIC",2.5,"surg_valve","valve surgery",0.215937695425509,0.010197320432724,5428,5428,1,0.252540411070446,3,20,200
"MIMIC",2.5,"surg_combined","combined surgery",0.254767703020213,0.0141163807847717,5428,5428,1,0.252540411070446,3,20,200
"MIMIC",2.5,"heart_failure","heart failure",0.0800207800873662,0.0840405295450704,5428,5428,1,0.252540411070446,3,20,200
"MIMIC",2.5,"hypertension","hypertension",0.0331161777655307,0.0189633350785499,5428,5428,1,0.252540411070446,3,20,200
"MIMIC",2.5,"diabetes","diabetes",0.0280899738879813,0.0355848172503753,5428,5428,1,0.252540411070446,3,20,200
"MIMIC",2.5,"copd","COPD",0.0249288397835532,0,5428,5428,1,0.252540411070446,3,20,200
"MIMIC",2.5,"pvd","peripheral vascular disease",0.00860273898575952,0.0195986433457336,5428,5428,1,0.252540411070446,3,20,200
"MIMIC",2.5,"stroke","stroke",0.0235207210840019,0.0649287565489674,5428,5428,1,0.252540411070446,3,20,200
"MIMIC",2.5,"liver_disease","liver disease",0.0788906085705604,0.0688527238783764,5428,5428,1,0.252540411070446,3,20,200
"MIMIC",2.5,"egfr","baseline (at ICU T0): eGFR",0.135016935028696,0.252540411070446,5428,5428,1,0.252540411070446,3,20,200
"MIMIC",2.5,"last_lactate","baseline (at ICU T0): lactate",0.117654573822334,0.0491823987689112,5428,5428,1,0.252540411070446,3,20,200
"MIMIC",2.5,"last_lactate_missing","baseline (at ICU T0): lactate missing",0.99795945316218,0.00582534857828213,5428,5428,1,0.252540411070446,3,20,200
"MIMIC",2.5,"last_heartrate","baseline (at ICU T0): heart rate",0.250325012568294,0.0411188793434436,5428,5428,1,0.252540411070446,3,20,200
"MIMIC",2.5,"last_hemoglobin","baseline (at ICU T0): hemoglobin",0.673295845233769,0.142744563212996,5428,5428,1,0.252540411070446,3,20,200
"MIMIC",2.5,"alb_cat","baseline (at ICU T0): serum albumin category",0.225492786288061,0.212515137547098,5428,5428,1,0.252540411070446,3,20,200
"MIMIC",2.5,"vaso_at_t0","baseline (at ICU T0): vasopressor status",0.702194323495083,0.000748453174503264,5428,5428,1,0.252540411070446,3,20,200
"MIMIC",2.5,"map_before_t0","baseline (at ICU T0): MAP",0.56783841918362,0.0530973546455898,5428,5428,1,0.252540411070446,3,20,200
"MIMIC",2.5,"vent_at_t0","baseline (at ICU T0): ventilation status",0.336925939287159,0.038733783445845,5428,5428,1,0.252540411070446,3,20,200
"MIMIC",2.5,"surg_aortic","aortic surgery",0.113390116912995,0.0206281920154462,5428,5428,1,0.252540411070446,3,20,200
