"db","variant","stratum","outcome","method","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"EICU","pooled","Overall","aki1_48h","psm",1894,0.241288278775079,0.194297782470961,1.3187611570032,1.12932062933528,1.53997982861969,0.000470349130275955,0.0469904963041184,0.0207378061834743,0.0732431864247625,0.000456287449739548
"EICU","pooled","Overall","aki1_48h","dr",1894,0.241288278775079,0.194297782470961,1.44419563488109,1.22937562036028,1.6965531097797,7.70318564413652e-06,0.0567487002455948,0.030869503497805,0.0826278969933846,1.76726707875492e-05
"EICU","pooled","Overall","aki2_48h","psm",1894,0.0337909186906019,0.0263991552270327,1.28979234961266,0.885883126401367,1.8778597938501,0.184250185053722,0.00739176346356915,-0.00349017217017031,0.0182736990973086,0.183148246519943
"EICU","pooled","Overall","aki2_48h","dr",1894,0.0337909186906019,0.0263991552270327,1.25813779627484,0.862463226665553,1.83533705029388,0.233275485920207,0.00660465111303038,-0.00433009353884624,0.017539395764907,0.236546148402489
"EICU","pooled","Overall","aki3_48h","psm",1894,0.0105596620908131,0.0116156282998944,0.908120694712793,0.49387515608299,1.66982118053144,0.756459146372089,-0.00105596620908129,-0.00772693337034071,0.00561500095217814,0.75638494022372
"EICU","pooled","Overall","aki3_48h","dr",1894,0.0105596620908131,0.0116156282998944,1.28113367582837,0.733460323209024,2.23775362266429,0.383949413303083,0.000867215651846096,-0.00556426740465848,0.00729869870835068,0.791574932481501
"EICU","pooled","Overall","aki1_7d","psm",1836,0.266339869281046,0.217864923747277,1.30327394209581,1.11988150083117,1.51669883544404,0.000618692417215989,0.0484749455337691,0.0208016095845089,0.0761482814830294,0.000602880066138647
"EICU","pooled","Overall","aki1_7d","dr",1836,0.266339869281046,0.217864923747277,1.37885940989547,1.18033684529417,1.6107717723439,5.11289391319325e-05,0.0554728675827196,0.0280089011925676,0.0829368339728717,7.67269161541057e-05
"EICU","pooled","Overall","aki2_7d","psm",1836,0.0582788671023965,0.0446623093681917,1.32374553048244,0.985259640476794,1.77851822756513,0.0626820066979841,0.0136165577342048,-0.000674084170395082,0.0279071996388047,0.0619048140538263
"EICU","pooled","Overall","aki2_7d","dr",1836,0.0582788671023965,0.0446623093681917,1.32658260842289,0.984683178331094,1.78719557284684,0.0630990172157826,0.0135814313308868,-0.000775680874059491,0.0279385435358331,0.0638042618110709
"EICU","pooled","Overall","aki3_7d","psm",1836,0.0223311546840959,0.0239651416122004,0.930260826466368,0.604797578733828,1.43086750953867,0.742101240082933,-0.00163398692810462,-0.0113641272545536,0.00809615339834433,0.742065857126392
"EICU","pooled","Overall","aki3_7d","dr",1836,0.0223311546840959,0.0239651416122004,1.05296747685148,0.677330216714806,1.63692757232152,0.818651531715922,-0.000730348756078114,-0.0108269146626202,0.009366217150464,0.887262161355397
"EICU","pooled","Overall","aki2_rrt_48h","psm",1894,0.044350580781415,0.0438225976768743,1.01260733541903,0.742439744562707,1.38108664474632,0.936932966493681,0.000527983104540758,-0.0125505167160726,0.0136064829251542,0.936936736597797
"EICU","pooled","Overall","aki2_rrt_48h","dr",1894,0.044350580781415,0.0438225976768743,1.02611733377496,0.745169701990106,1.41298925581841,0.874494473129995,-0.000359187031093386,-0.0137053370455729,0.0129869629833861,0.957934054479725
"EICU","pooled","Overall","aki2_rrt_7d","psm",1836,0.0729847494553377,0.0631808278867102,1.16738927824591,0.90235931280767,1.51026061084601,0.238797553376204,0.00980392156862751,-0.00649196955717394,0.026099812694429,0.238405452970151
"EICU","pooled","Overall","aki2_rrt_7d","dr",1836,0.0729847494553377,0.0631808278867102,1.19630454623461,0.920617872080999,1.55454788652603,0.179879008398177,0.00987804814028453,-0.00649565162888917,0.0262517479094582,0.237106447375095
"EICU","pooled","Overall","death_48h_all","psm",1948,0.0323408624229979,0.0184804928131417,1.77506627170272,1.17271413574068,2.68681017215378,0.00666103448009101,0.0138603696098562,0.00398426885200032,0.0237364703677121,0.00597405072770502
"EICU","pooled","Overall","death_48h_all","dr",1948,0.0323408624229979,0.0184804928131417,2.10800283915394,1.3993419638844,3.17554685314089,0.000360709303607276,0.0141837931864318,0.00477242382769436,0.0235951625451693,0.00315666334530918
"EICU","pooled","Overall","death_48h_never","psm",1816,0.0313876651982379,0.019273127753304,1.64894012296958,1.07679626773689,2.52508632376064,0.0214306291548154,0.012114537444934,0.0018990401728325,0.0223300347170354,0.0201611167740097
"EICU","pooled","Overall","death_48h_never","dr",1816,0.0313876651982379,0.019273127753304,1.9297615552145,1.27085293873449,2.93029944416086,0.00203769613798587,0.0127195367552333,0.0028957575203092,0.0225433159901574,0.0111982933168388
"EICU","pooled","Overall","death_48h_censored","psm",1894,0.0327349524815206,0.0184794086589229,1.79753582839224,1.18165957110945,2.73440433552287,0.00614590726465762,0.0142555438225978,0.0042024187785849,0.0243086688666106,0.00547414430854659
"EICU","pooled","Overall","death_48h_censored","dr",1894,0.0327349524815206,0.0184794086589229,2.1297386770868,1.4058854440764,3.22628479567141,0.000360198874946436,0.0144797886872003,0.00488835128376315,0.0240712260906374,0.00310623824841496
"EICU","pooled","Overall","death_7d_all","psm",1948,0.0646817248459959,0.0600616016427105,1.08224267481142,0.834522226882867,1.40349671878468,0.551199947548655,0.00462012320328543,-0.0105705598582763,0.0198108062648472,0.551130966435488
"EICU","pooled","Overall","death_7d_all","dr",1948,0.0646817248459959,0.0600616016427105,1.20479053594306,0.92280964409985,1.57293570215539,0.170844860133669,0.00549009698426201,-0.00937149093107497,0.020351684899599,0.469076199524509
"EICU","pooled","Overall","death_7d_never","psm",1816,0.0638766519823789,0.0517621145374449,1.25001251156571,0.944538097894109,1.65428084113763,0.118550048245323,0.0121145374449339,-0.00306610893374482,0.0272951838236125,0.117874380026182
"EICU","pooled","Overall","death_7d_never","dr",1816,0.0638766519823789,0.0517621145374449,1.36800624665133,1.02933785121825,1.81810188818196,0.0308306584922706,0.0125434099807738,-0.00243391678853897,0.0275207367500865,0.100783112389214
"EICU","pooled","Overall","death_7d_censored","psm",1836,0.0642701525054466,0.05119825708061,1.27285561631611,0.962850781723396,1.68267134507339,0.0902336588750905,0.0130718954248365,-0.00201450947197195,0.028158300321645,0.0895400036348438
"EICU","pooled","Overall","death_7d_censored","dr",1836,0.0642701525054466,0.05119825708061,1.39084124261413,1.04724196429406,1.84717517833656,0.0226759162960852,0.0133352717547882,-0.00153434388927232,0.0282048873988488,0.0788727299017757
"EICU","pooled","Overall","hosp_mort_descriptive","psm",1948,0.095482546201232,0.0918891170431212,1.04323426274104,0.840892160297891,1.29426551743721,0.700424003763284,0.00359342915811081,-0.0147109996097317,0.0218978579259533,0.700423736567444
