"set","variable","smd","matched","eligible","match_rate","max_smd","n_viol","mice_m","mice_logged_events"
"S4","age",0.0646566384335802,5428,5428,1,0.445147698372095,17,5,50
"S4","is_female",0.276663999447801,5428,5428,1,0.445147698372095,17,5,50
"S4","bmi",0.0795298040831124,5428,5428,1,0.445147698372095,17,5,50
"S4","surg_cabg",0.051412886509956,5428,5428,1,0.445147698372095,17,5,50
"S4","surg_valve",0.0442764964595498,5428,5428,1,0.445147698372095,17,5,50
"S4","surg_combined",0.0786644432422387,5428,5428,1,0.445147698372095,17,5,50
"S4","heart_failure",0.147015168204648,5428,5428,1,0.445147698372095,17,5,50
"S4","hypertension",0.117733405497049,5428,5428,1,0.445147698372095,17,5,50
"S4","diabetes",0.0054919614819761,5428,5428,1,0.445147698372095,17,5,50
"S4","copd",0.0854609528247903,5428,5428,1,0.445147698372095,17,5,50
"S4","pvd",0.00347593300980865,5428,5428,1,0.445147698372095,17,5,50
"S4","stroke",0.0813119478381864,5428,5428,1,0.445147698372095,17,5,50
"S4","liver_disease",0.0833401330433557,5428,5428,1,0.445147698372095,17,5,50
"S4","egfr",0.323718927185318,5428,5428,1,0.445147698372095,17,5,50
"S4","last_lactate",0.0611100495088254,5428,5428,1,0.445147698372095,17,5,50
"S4","last_lactate_missing",0.328868345798864,5428,5428,1,0.445147698372095,17,5,50
"S4","last_heartrate",0.0136845630165701,5428,5428,1,0.445147698372095,17,5,50
"S4","last_hemoglobin",0.165281791678151,5428,5428,1,0.445147698372095,17,5,50
"S4","alb_cat",0.337262682043186,5428,5428,1,0.445147698372095,17,5,50
"S4","vaso_at_t0",0.265249843730307,5428,5428,1,0.445147698372095,17,5,50
"S4","map_before_t0",0.0461337011181343,5428,5428,1,0.445147698372095,17,5,50
"S4","vent_at_t0",0.157895839649375,5428,5428,1,0.445147698372095,17,5,50
"S4","last_platelet",0.232596699187117,5428,5428,1,0.445147698372095,17,5,50
"S4","last_inr",0.106835659036506,5428,5428,1,0.445147698372095,17,5,50
"S4","last_hct",0.110894516865528,5428,5428,1,0.445147698372095,17,5,50
"S4","last_bicarbonate",0.219025219922356,5428,5428,1,0.445147698372095,17,5,50
"S4","last_bun",0.445147698372095,5428,5428,1,0.445147698372095,17,5,50
"S4","last_sodium",0.0854151417085289,5428,5428,1,0.445147698372095,17,5,50
"S4","rbc_before_t0",0.150903229962496,5428,5428,1,0.445147698372095,17,5,50
"S4","crystalloid_before_t0",0.137259478375456,5428,5428,1,0.445147698372095,17,5,50
"S4","urine_before_t0",0.166095234636859,5428,5428,1,0.445147698372095,17,5,50
