"db","subgroup","outcome","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"EICU","Overall","aki1_48h",1887,0.240593534711182,0.223635400105988,1.09985348736577,0.945458790733669,1.27946104634762,0.217474933165108,0.0169581346051934,-0.00998275707140089,0.0438990262817877,0.217378218771206
"EICU","Overall","aki2_48h",1887,0.0339162692103869,0.0280869104398516,1.21483352132341,0.839260546107365,1.75847713963936,0.302384109060792,0.00582935877053527,-0.00523158852521757,0.0168903060662881,0.301687695555239
"EICU","Overall","aki3_48h",1887,0.0111287758346582,0.0185479597244303,0.595498392295239,0.34530791758826,1.02696265322551,0.062278049260973,-0.00741918388977213,-0.0151325247555295,0.000294156975985236,0.0594724588758838
"EICU","Overall","aki1_7d",1815,0.267217630853994,0.243526170798898,1.13276120164668,0.975592647644244,1.31524970289028,0.10189080857856,0.0236914600550964,-0.00467782529196192,0.0520607454021548,0.101755936296651
"EICU","Overall","aki2_7d",1815,0.0573002754820937,0.0484848484848485,1.19286965600923,0.8910332215905,1.59695282033103,0.236067893235357,0.00881542699724515,-0.00574805161768732,0.0233789056121776,0.235538645982769
"EICU","Overall","aki3_7d",1815,0.0236914600550964,0.0297520661157025,0.791353148177905,0.5272317386209,1.18778851737788,0.258721398230804,-0.00606060606060605,-0.016554261628723,0.00443304950751094,0.257710457921913
"EICU","Overall","aki2_rrt_48h",1887,0.0466348701642819,0.0434552199258082,1.07674992178085,0.791380029471682,1.46502356753816,0.637862970346089,0.00317965023847378,-0.0100577415051201,0.0164170419820677,0.637813461950206
"EICU","Overall","aki2_rrt_7d",1815,0.0732782369146005,0.0644628099173554,1.14756547450162,0.887055549064905,1.48458179384183,0.294764235703385,0.00881542699724516,-0.00766271954133436,0.0252935735358247,0.294452989726487
"EICU","Overall","death_48h_all",1949,0.0333504361210877,0.0153925089789636,2.20691790516626,1.42507618504938,3.41770264020982,0.000389060921395949,0.0179579271421242,0.00829024870315415,0.0276256055810942,0.00027538356571168
"EICU","Overall","death_48h_never",1790,0.0279329608938547,0.0145251396648045,1.94960212201573,1.20801919704604,3.14643049006394,0.00625959456351702,0.0134078212290503,0.00397152574634372,0.0228441167117569,0.0053822573779009
"EICU","Overall","death_48h_censored",1887,0.03232644409115,0.014308426073132,2.30132651819367,1.4560563324531,3.63729316325197,0.000358622224692486,0.018018018018018,0.00840317788755402,0.027632858148482,0.000243044565033935
"EICU","Overall","death_7d_all",1949,0.0656747049769112,0.0482298614674192,1.3871265351107,1.05463124616247,1.82444814849702,0.0192614632968379,0.017444843509492,0.00290059854845217,0.0319890884705319,0.0187782378792628
"EICU","Overall","death_7d_never",1790,0.0603351955307263,0.0396648044692737,1.55458793187183,1.14363391702455,2.11321437913392,0.0048496888112873,0.0206703910614525,0.0064036808104432,0.0349371013124618,0.00454030234052255
"EICU","Overall","death_7d_censored",1815,0.0622589531680441,0.0391184573002755,1.63082372022969,1.20292863245408,2.21092584772715,0.00163307622736789,0.0231404958677686,0.0088841772254577,0.0373968145100795,0.00147790277742773
"EICU","Overall","hosp_mort_descriptive",1949,0.0959466393022063,0.0795279630579784,1.22836219838125,0.982950029149006,1.53504618308861,0.070486854403092,0.0164186762442276,-0.00134143870370979,0.0341787911921651,0.0700694434052147
"EICU","G1","aki1_48h",590,0.149152542372881,0.205084745762712,0.679463962332235,0.502189125926089,0.91931754845717,0.0122320935601619,-0.0559322033898305,-0.099417835897577,-0.0124465708820839,0.0118334662382779
"EICU","G1","aki2_48h",590,0.0338983050847458,0.0288135593220339,1.1826625386799,0.612824874050909,2.28236603901393,0.616964059297453,0.00508474576271183,-0.0148178249413629,0.0249873164667866,0.616644533015954
"EICU","G1","aki3_48h",590,0.0101694915254237,0.0152542372881356,0.66324200919914,0.234365669979436,1.87693855847193,0.439131568883263,-0.00508474576271186,-0.0178764421376319,0.00770695061220817,0.436073099407387
"EICU","G1","aki1_7d",579,0.191709844559585,0.227979274611399,0.803175990674565,0.604606151411101,1.06696180726987,0.130361309648137,-0.0362694300518134,-0.0831703278216707,0.0106314677180438,0.129866492197364
"EICU","G1","aki2_7d",579,0.0500863557858377,0.0569948186528497,0.872396698690752,0.52220565140327,1.45742582034752,0.602104275623848,-0.00690846286701207,-0.0328591329740803,0.0190422072400562,0.601922222250723
"EICU","G1","aki3_7d",579,0.0172711571675302,0.0293609671848014,0.580998688839752,0.263566031863883,1.28073968426948,0.178157762269254,-0.0120898100172712,-0.0294743442072562,0.00529472417271387,0.173131488060186
"EICU","G1","aki2_rrt_48h",590,0.0372881355932203,0.0389830508474576,0.95483772198412,0.525874934799298,1.73371084071878,0.879299931653664,-0.00169491525423728,-0.0235690735466206,0.020179243038146,0.879315277682807
"EICU","G1","aki2_rrt_7d",579,0.0535405872193437,0.0708117443868739,0.742300161606479,0.458477643606862,1.20182420583519,0.225440562813383,-0.0172711571675303,-0.0450940231212635,0.0105517087862029,0.223975110709918
