"db","method","scale","n_hospitals","pooled_estimate","ci_lo","ci_hi","p","tau2","i2","eligibility"
"EICU","psm","or",7,1.12374801625475,0.834262065152025,1.51368455643055,0.442689890673615,0.086940711302581,54.0534228203622,">=100 pairs and >=20 AKI events in each arm"
"EICU","psm","rd",7,0.021305372252295,-0.0304908542042093,0.0731015987087992,0.420131495292511,0.00253386066056488,52.7528298109314,">=100 pairs and >=20 AKI events in each arm"
"EICU","dr","or",7,1.30596741064204,0.857567029408317,1.98882515205351,0.213521997715637,0.225016538481292,70.6898599906159,">=100 pairs and >=20 AKI events in each arm"
"EICU","dr","rd",7,0.040326617446144,-0.0251827201394019,0.10583595503169,0.227614747452822,0.00529581319967687,68.8133235672359,">=100 pairs and >=20 AKI events in each arm"
