"set","outcome","outcome_type","method","match_rate","max_smd","n_viol","covariate_count","mice_logged_events","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p","mean_trt","mean_ctl","did","did_ci_lo","did_ci_hi","did_p"
"S0","aki1_48h","binary","psm",0.999815770081061,0.208935718049182,4,19,50,4920,0.354268292682927,0.227235772357724,1.86573724494213,1.707434565022,2.03871676166952,3.07501027851294e-43,0.127032520325203,0.109261891378955,0.144803149271451,3.54573552960597e-44,NA,NA,NA,NA,NA,NA
"S0","aki1_48h","binary","dr",0.999815770081061,0.208935718049182,4,19,50,4920,0.354268292682927,0.227235772357724,2.16229957454624,1.9683613025815,2.37534615415923,3.26413212676538e-58,0.144702126132225,0.127489090326971,0.161915161937479,3.4368179029053e-60,NA,NA,NA,NA,NA,NA
"S0","aki2_48h","binary","psm",0.999815770081061,0.208935718049182,4,19,50,4920,0.0491869918699187,0.0207317073170732,2.44355304057878,1.93204073952586,3.09048941876201,8.93897199392918e-14,0.0284552845528453,0.0212179223360957,0.035692646769595,1.42176124495974e-14,NA,NA,NA,NA,NA,NA
"S0","aki2_48h","binary","dr",0.999815770081061,0.208935718049182,4,19,50,4920,0.0491869918699187,0.0207317073170732,2.66779021354305,2.10548497316991,3.3802685434325,4.46963931280711e-16,0.0304774689638464,0.0232151988417309,0.0377397390859619,2.18990006128956e-16,NA,NA,NA,NA,NA,NA
"S0","aki3_48h","binary","psm",0.999815770081061,0.208935718049182,4,19,50,4920,0.00955284552845528,0.00731707317073171,1.30850261511761,0.846135121986372,2.02352916133552,0.226718965420867,0.00223577235772364,-0.00137834549968741,0.00584989021513468,0.22535059024605,NA,NA,NA,NA,NA,NA
"S0","aki3_48h","binary","dr",0.999815770081061,0.208935718049182,4,19,50,4920,0.00955284552845528,0.00731707317073171,2.14764671600582,1.42826461439042,3.2293640620223,0.000239931893776132,0.00411559232906859,0.000590285894089209,0.00764089876404798,0.0221477436759787,NA,NA,NA,NA,NA,NA
"S0","aki1_7d","binary","psm",0.999815770081061,0.208935718049182,4,19,50,4562,0.395440596229724,0.259973695747479,1.8619157269858,1.70355541455671,2.03499700965063,9.28530321782393e-43,0.135466900482244,0.116403795500416,0.154530005464072,1.1926947659292e-43,NA,NA,NA,NA,NA,NA
"S0","aki1_7d","binary","dr",0.999815770081061,0.208935718049182,4,19,50,4562,0.395440596229724,0.259973695747479,2.06275634108693,1.87946945758089,2.26391746113874,1.63086516775092e-52,0.146481348003483,0.128014143904141,0.164948552102825,8.19612914059561e-54,NA,NA,NA,NA,NA,NA
"S0","aki2_7d","binary","psm",0.999815770081061,0.208935718049182,4,19,50,4562,0.0843928101709776,0.0405523893029373,2.18072585393627,1.8207469913093,2.61187593483613,2.44825315661502e-17,0.0438404208680406,0.0339483088914001,0.0537325328446812,4.38548389128697e-18,NA,NA,NA,NA,NA,NA
"S0","aki2_7d","binary","dr",0.999815770081061,0.208935718049182,4,19,50,4562,0.0843928101709776,0.0405523893029373,2.34686305874228,1.95389031866384,2.81887174724096,7.24098105494055e-20,0.0467062829079118,0.0368490167939608,0.0565635490218627,1.95292865448683e-20,NA,NA,NA,NA,NA,NA
"S0","aki3_7d","binary","psm",0.999815770081061,0.208935718049182,4,19,50,4562,0.0241122314774222,0.0160017536168347,1.51937254612363,1.12692075515544,2.04849624372725,0.00607373867769547,0.00811047786058744,0.0023588260509392,0.0138621296702357,0.00572434641435077,NA,NA,NA,NA,NA,NA
"S0","aki3_7d","binary","dr",0.999815770081061,0.208935718049182,4,19,50,4562,0.0241122314774222,0.0160017536168347,2.0643263117113,1.5291212099209,2.78685763664479,2.20530425487862e-06,0.0106173390829577,0.00496545854040548,0.0162692196255099,0.000232787053752333,NA,NA,NA,NA,NA,NA
"S0","aki2_rrt_48h","binary","psm",0.999815770081061,0.208935718049182,4,19,50,4920,0.0538617886178862,0.0241869918699187,2.29673523451101,1.84311360861818,2.86200086244229,1.29461891418581e-13,0.0296747967479673,0.0220438502627273,0.0373057432332072,2.72977078537648e-14,NA,NA,NA,NA,NA,NA
"S0","aki2_rrt_48h","binary","dr",0.999815770081061,0.208935718049182,4,19,50,4920,0.0538617886178862,0.0241869918699187,2.65019327722167,2.12292421114604,3.30841975881906,7.23347389274818e-18,0.0334452124653287,0.0258190211147293,0.0410714038159282,9.53514757153915e-18,NA,NA,NA,NA,NA,NA
"S0","aki2_rrt_7d","binary","psm",0.999815770081061,0.208935718049182,4,19,50,4562,0.0900920648838229,0.0434020166593599,2.18227068327774,1.83225536226442,2.59914935067126,2.14902366387116e-18,0.0466900482244633,0.0364912604837552,0.0568888359651714,3.46171227006511e-19,NA,NA,NA,NA,NA,NA
"S0","aki2_rrt_7d","binary","dr",0.999815770081061,0.208935718049182,4,19,50,4562,0.0900920648838229,0.0434020166593599,2.39928888003777,2.00710148793336,2.8681096419296,7.20069766695417e-22,0.0505108454664862,0.0403727094487305,0.0606489814842419,2.04408458304527e-22,NA,NA,NA,NA,NA,NA
"S0","death_48h_all","binary","psm",0.999815770081061,0.208935718049182,4,19,50,5427,0.00571217984153308,0.00479086051225355,1.19341249928527,0.707639382183507,2.01265422658597,0.507266398821154,0.000921319329279528,-0.00179838388542834,0.00364102254398739,0.506727255816852,NA,NA,NA,NA,NA,NA
"S0","death_48h_all","binary","dr",0.999815770081061,0.208935718049182,4,19,50,5427,0.00571217984153308,0.00479086051225355,1.9528750637532,1.09208199933772,3.49215628216731,0.0240051583647805,0.00275800064233348,-0.000225516374884409,0.00574151765955136,0.0700372289519424,NA,NA,NA,NA,NA,NA
"S0","death_48h_never","binary","psm",0.999815770081061,0.208935718049182,4,19,50,4480,0.00513392857142857,0.00491071428571429,1.04568911008156,0.581953138986141,1.87895835882624,0.881223781169431,0.00022321428571426,-0.00270456893619554,0.00315099750762406,0.881217340137205,NA,NA,NA,NA,NA,NA
"S0","death_48h_never","binary","dr",0.999815770081061,0.208935718049182,4,19,50,4480,0.00513392857142857,0.00491071428571429,1.33799955216067,0.736922563004622,2.42934996356045,0.33864900222744,0.000846154290633492,-0.00211741754965872,0.0038097261309257,0.575755344569334,NA,NA,NA,NA,NA,NA
"S0","death_48h_censored","binary","psm",0.999815770081061,0.208935718049182,4,19,50,4920,0.00569105691056911,0.00447154471544715,1.27428826283306,0.727981537367466,2.23056560289448,0.39612715572707,0.00121951219512197,-0.00159043356572059,0.00402945795596454,0.394991717661574,NA,NA,NA,NA,NA,NA
"S0","death_48h_censored","binary","dr",0.999815770081061,0.208935718049182,4,19,50,4920,0.00569105691056911,0.00447154471544715,1.96421660669201,1.06779336025568,3.61319616848044,0.0299360882495413,0.00250109436657347,-0.000556859783603354,0.0055590485167503,0.108949124555015,NA,NA,NA,NA,NA,NA
"S0","death_7d_all","binary","psm",0.999815770081061,0.208935718049182,4,19,50,5427,0.0123456790123457,0.0134512622074811,0.916780821919997,0.656601290031658,1.28005699684169,0.609915910864985,-0.00110558319513544,-0.00535154403467784,0.00314037764440696,0.609813863669675,NA,NA,NA,NA,NA,NA
"S0","death_7d_all","binary","dr",0.999815770081061,0.208935718049182,4,19,50,5427,0.0123456790123457,0.0134512622074811,1.43702426965171,1.0016291086122,2.0616800508416,0.0489715673184468,0.00302025729456501,-0.00133524638042809,0.00737576096955812,0.174133030067091,NA,NA,NA,NA,NA,NA
"S0","death_7d_never","binary","psm",0.999815770081061,0.208935718049182,4,19,50,4480,0.0113839285714286,0.00848214285714286,1.34604460788022,0.882534125789821,2.05299266448413,0.167647176474113,0.00290178571428563,-0.00120505004570446,0.00700862147427572,0.166121768498595,NA,NA,NA,NA,NA,NA
"S0","death_7d_never","binary","dr",0.999815770081061,0.208935718049182,4,19,50,4480,0.0113839285714286,0.00848214285714286,1.66996249037132,1.07533750174414,2.59339483159839,0.0224049623155469,0.00406514609758345,-5.42786707210027e-05,0.0081845708658879,0.0531231494574055,NA,NA,NA,NA,NA,NA
"S0","death_7d_censored","binary","psm",0.999815770081061,0.208935718049182,4,19,50,4562,0.0111793073213503,0.00832967996492766,1.3459729985294,0.882520798471527,2.05280523236154,0.167684905752232,0.00284962735642262,-0.00118375315780116,0.0068830078706464,0.166159306923288,NA,NA,NA,NA,NA,NA
"S0","death_7d_censored","binary","dr",0.999815770081061,0.208935718049182,4,19,50,4562,0.0111793073213503,0.00832967996492766,1.78372439074212,1.14109391631913,2.78826541499022,0.0111136674968837,0.0044079901140372,0.00029840184204843,0.00851757838602598,0.0355527983895925,NA,NA,NA,NA,NA,NA
"S0","hosp_mort_descriptive","binary","psm",0.999815770081061,0.208935718049182,4,19,50,5427,0.0239543025612677,0.0427492168785701,0.549554725449329,0.441851281921778,0.683511418027646,7.49011088376129e-08,-0.0187949143173024,-0.0255422007063368,-0.012047627928268,4.87495841568547e-08,NA,NA,NA,NA,NA,NA
"S0","hosp_mort_descriptive","binary","dr",0.999815770081061,0.208935718049182,4,19,50,5427,0.0239543025612677,0.0427492168785701,0.822631303199462,0.650195620411133,1.04079793797402,0.103775589476396,-0.00725918334408206,-0.0135853509213207,-0.000933015766843474,0.0245279652103834,NA,NA,NA,NA,NA,NA
"S0","delta_cr_48h","continuous","psm",0.999815770081061,0.208935718049182,4,19,50,5427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.271217984153308,0.194637921503593,0.0765800626497144,0.0636063437520756,0.0895537815473532,8.93256433332855e-31
"S0","delta_cr_48h","continuous","dr",0.999815770081061,0.208935718049182,4,19,50,5427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.271217984153308,0.194637921503593,0.0989770676107649,0.0866071205151425,0.111347014706387,7.92320272124348e-55
"S0","delta_cr_7d","continuous","psm",0.999815770081061,0.208935718049182,4,19,50,5427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.365634789017874,0.307499539340335,0.0581352496775383,0.0383284211270768,0.0779420782279997,9.01413090619349e-09
"S0","delta_cr_7d","continuous","dr",0.999815770081061,0.208935718049182,4,19,50,5427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.365634789017874,0.307499539340335,0.0966626499475253,0.0779291236667822,0.115396176228268,6.15428586869592e-24
"S1","aki1_48h","binary","psm",0.999815770081061,0.248382318818102,3,20,50,4823,0.352477710968277,0.240721542608335,1.71697138536865,1.57139700381455,1.87603179274145,5.84873360776121e-33,0.111756168359943,0.0936607077193104,0.129851629000575,1.74108595334682e-33,NA,NA,NA,NA,NA,NA
"S1","aki1_48h","binary","dr",0.999815770081061,0.248382318818102,3,20,50,4823,0.352477710968277,0.240721542608335,2.03912915758496,1.8557644774328,2.24061176505826,1.06844626038895e-49,0.137333884346297,0.119690909163507,0.154976859529087,5.98940108727607e-52,NA,NA,NA,NA,NA,NA
"S1","aki2_48h","binary","psm",0.999815770081061,0.248382318818102,3,20,50,4823,0.0454074227659133,0.0277835372174995,1.66450166624143,1.33739663166847,2.07161116703581,5.01188492963052e-06,0.0176238855484141,0.0101370766958472,0.025110694400981,4.00426011756928e-06,NA,NA,NA,NA,NA,NA
"S1","aki2_48h","binary","dr",0.999815770081061,0.248382318818102,3,20,50,4823,0.0454074227659133,0.0277835372174995,1.82436486641495,1.46205158705642,2.27646356344386,1.02199509888414e-07,0.0205379983944297,0.01300616332605,0.0280698334628094,9.26975846583832e-08,NA,NA,NA,NA,NA,NA
"S1","aki3_48h","binary","psm",0.999815770081061,0.248382318818102,3,20,50,4823,0.00933029234916027,0.00476881608957081,1.96553042021952,1.18735296125112,3.25371642543218,0.00859446666952703,0.00456147625958944,0.0012230587167821,0.00789989380239677,0.00741746979013649,NA,NA,NA,NA,NA,NA
"S1","aki3_48h","binary","dr",0.999815770081061,0.248382318818102,3,20,50,4823,0.00933029234916027,0.00476881608957081,3.04595735854918,1.85206214627055,5.00947349352314,1.14419330751765e-05,0.0066732800113431,0.00323420500760871,0.0101123550150775,0.000143697238226834,NA,NA,NA,NA,NA,NA
"S1","aki1_7d","binary","psm",0.999815770081061,0.248382318818102,3,20,50,4380,0.391324200913242,0.277168949771689,1.67665186477442,1.5326690593341,1.83416077889177,1.62359732950114e-29,0.114155251141553,0.094541025295448,0.133769476987658,6.25450614128912e-30,NA,NA,NA,NA,NA,NA
"S1","aki1_7d","binary","dr",0.999815770081061,0.248382318818102,3,20,50,4380,0.391324200913242,0.277168949771689,1.85578153767837,1.68995411922755,2.03788083735791,2.44942402841241e-38,0.129182584943948,0.110023483840111,0.148341686047786,1.70281713008151e-39,NA,NA,NA,NA,NA,NA
"S1","aki2_7d","binary","psm",0.999815770081061,0.248382318818102,3,20,50,4380,0.0805936073059361,0.0470319634703196,1.77614449219861,1.48766614858637,2.12056264113099,2.11706315955403e-10,0.0335616438356163,0.0233477150076022,0.0437755726636304,1.25508662373952e-10,NA,NA,NA,NA,NA,NA
"S1","aki2_7d","binary","dr",0.999815770081061,0.248382318818102,3,20,50,4380,0.0805936073059361,0.0470319634703196,1.92114415984864,1.60388177157254,2.30116393136749,1.33995790981835e-12,0.0374403974792197,0.0272059554134646,0.0476748395449747,8.09605050899028e-13,NA,NA,NA,NA,NA,NA
"S1","aki3_7d","binary","psm",0.999815770081061,0.248382318818102,3,20,50,4380,0.0242009132420091,0.0141552511415525,1.72727821637176,1.2589735790036,2.36977970507823,0.000705858855731171,0.0100456621004566,0.00430463196478777,0.0157866922361254,0.000607235050376953,NA,NA,NA,NA,NA,NA
"S1","aki3_7d","binary","dr",0.999815770081061,0.248382318818102,3,20,50,4380,0.0242009132420091,0.0141552511415525,2.27175525512866,1.65610761900423,3.11626604453868,3.61530624021604e-07,0.0132429056755984,0.00753089948615054,0.0189549118650462,5.59021941703551e-06,NA,NA,NA,NA,NA,NA
"S1","aki2_rrt_48h","binary","psm",0.999815770081061,0.248382318818102,3,20,50,4823,0.0501762388554841,0.0298569355173129,1.71650719152521,1.39097333359114,2.11822676064601,4.75807871490407e-07,0.0203193033381713,0.0125061722143385,0.0281324344620041,3.51077766645443e-07,NA,NA,NA,NA,NA,NA
"S1","aki2_rrt_48h","binary","dr",0.999815770081061,0.248382318818102,3,20,50,4823,0.0501762388554841,0.0298569355173129,1.97999713554312,1.59801284142938,2.45328983292291,4.19420872200043e-10,0.0250859552180723,0.0171995267758259,0.0329723836603188,4.72019405814208e-10,NA,NA,NA,NA,NA,NA
"S1","aki2_rrt_7d","binary","psm",0.999815770081061,0.248382318818102,3,20,50,4380,0.0858447488584475,0.0484018264840183,1.84622922416725,1.55160456215266,2.19679835398284,4.76432685419512e-12,0.0374429223744289,0.0269905837719189,0.047895260976939,2.36340625285418e-12,NA,NA,NA,NA,NA,NA
"S1","aki2_rrt_7d","binary","dr",0.999815770081061,0.248382318818102,3,20,50,4380,0.0858447488584475,0.0484018264840183,2.02896764720702,1.69849382235799,2.42374135202778,6.18292914912096e-15,0.0421577214667575,0.0316934144313826,0.0526220285021325,3.22048186752963e-15,NA,NA,NA,NA,NA,NA
