"db","variant","stratum","horizon","method","frozen_or","rebuilt_or","frozen_rd","rebuilt_rd","pass"
"EICU","pooled","Overall","48h","psm",1.07674992178085,1.07674992178085,0.0031796502384738,0.00317965023847379,TRUE
"EICU","pooled","Overall","48h","dr",1.13007765289556,1.13007765289556,0.00426689559629997,0.00426689559629998,TRUE
"EICU","pooled","Overall","7d","psm",1.14756547450162,1.14756547450162,0.0088154269972452,0.00881542699724521,TRUE
"EICU","pooled","Overall","7d","dr",1.22658352187504,1.22658352187504,0.0122969862796337,0.0122969862796337,TRUE
"EICU","egfr","G1","48h","psm",3.2400475339218,3.2400475339218,0.0224137931034483,0.0224137931034483,TRUE
"EICU","egfr","G1","48h","dr",3.43392526604764,3.43392526604764,0.023640931677829,0.023640931677829,TRUE
"EICU","egfr","G1","7d","psm",1.83985239835585,1.83985239835585,0.0210896309314587,0.0210896309314587,TRUE
"EICU","egfr","G1","7d","dr",1.92085414578722,1.92085414578722,0.0225416414118679,0.0225416414118679,TRUE
"EICU","egfr","G2","48h","psm",1.03474692202461,1.03474692202461,0.00131233595800526,0.00131233595800523,TRUE
"EICU","egfr","G2","48h","dr",1.0078416909039,1.0078416909039,0.000277161066749097,0.00027716106674906,TRUE
"EICU","egfr","G2","7d","psm",1.36735470552621,1.36735470552621,0.0175202156334232,0.0175202156334231,TRUE
"EICU","egfr","G2","7d","dr",1.39016847964864,1.39016847964864,0.018393237778885,0.018393237778885,TRUE
"EICU","egfr","G3plus","48h","psm",0.917378917387757,0.917378917387757,-0.00574712643678164,-0.00574712643678154,TRUE
"EICU","egfr","G3plus","48h","dr",0.893805977844181,0.893805977844182,-0.00749541752829734,-0.00749541752829724,TRUE
"EICU","egfr","G3plus","7d","psm",1,1,4.79038890276728e-18,4.51243979579223e-17,TRUE
"EICU","egfr","G3plus","7d","dr",0.988739395458636,0.988739395458636,-0.00109808058368224,-0.0010980805836822,TRUE
