"db","variant","stratum","horizon","n_pairs","no_post_cr_trt","no_post_cr_ctl","rate_trt","rate_ctl","rate_difference"
"MIMIC","pooled","Overall","48h",5428,4,10,0.000736919675755343,0.00184229918938836,-0.00110537951363301
"MIMIC","pooled","Overall","7d",5428,4,8,0.000736919675755343,0.00147383935151069,-0.000736919675755343
