"db","database_role","analysis_set","variant","stratum","outcome","method","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"IUH","external_validation","primary","egfr_reported","G2","aki2_48h","dr",548,0.0383211678832117,0.0273722627737226,1.77614014021226,0.867756216748152,3.63543785315089,0.11598156624479,0.017604950127745,-0.00394347213649503,0.039153372391985,0.109598847825178
"IUH","external_validation","primary","egfr_reported","G2","aki3_48h","psm",548,0.00547445255474453,0.00182481751824818,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr_reported","G2","aki3_48h","dr",548,0.00547445255474453,0.00182481751824818,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr_reported","G2","aki1_7d","psm",484,0.241735537190083,0.204545454545455,1.23978201635168,0.914999433964768,1.67984743051569,0.165493635866917,0.0371900826446283,-0.0152694443436145,0.089649609632871,0.165000642598355
"IUH","external_validation","primary","egfr_reported","G2","aki1_7d","dr",484,0.241735537190083,0.204545454545455,1.43952431658362,1.04396846341239,1.98495484361864,0.0262494314214551,0.0559672991710105,0.00464841825179409,0.107286180090227,0.0328068372651353
"IUH","external_validation","primary","egfr_reported","G2","aki2_7d","psm",484,0.0537190082644628,0.0599173553719008,0.890679115951689,0.516148240422675,1.53697954475799,0.677482777130856,-0.00619834710743791,-0.0353927742163965,0.0229960800015207,0.677405221862949
"IUH","external_validation","primary","egfr_reported","G2","aki2_7d","dr",484,0.0537190082644628,0.0599173553719008,1.00165876946134,0.56735406208027,1.76842003520695,0.995440223716108,0.00175304524662918,-0.026420573775296,0.0299266642685544,0.902958661693449
"IUH","external_validation","primary","egfr_reported","G2","aki3_7d","psm",484,0.0144628099173554,0.0185950413223141,0.774516655019888,0.285809179558276,2.09886907701956,0.615413268881569,-0.00413223140495866,-0.0202106592341256,0.0119461964242083,0.614566539692388
"IUH","external_validation","primary","egfr_reported","G2","aki3_7d","dr",484,0.0144628099173554,0.0185950413223141,0.779333469283081,0.28851196832369,2.10514891244785,0.622891342306675,-0.00154692798118147,-0.0170485684152574,0.0139547124528945,0.84497186522268
"IUH","external_validation","primary","egfr_reported","G2","aki2_rrt_48h","psm",548,0.0401459854014599,0.0510948905109489,0.776751765344919,0.43842502974241,1.37616072084418,0.386614409361828,-0.010948905109489,-0.0356700269151039,0.0137722166961259,0.385542189142027
"IUH","external_validation","primary","egfr_reported","G2","aki2_rrt_48h","dr",548,0.0401459854014599,0.0510948905109489,1.13382483709678,0.605200456047677,2.12418670272161,0.694969924244215,0.000937639074126815,-0.0228010287344537,0.0246763068827073,0.938306193886842
"IUH","external_validation","primary","egfr_reported","G2","aki2_rrt_7d","psm",484,0.0537190082644628,0.0867768595041322,0.5974215024018,0.35990445593809,0.991686670290684,0.0463396446583395,-0.0330578512396699,-0.0652231525595173,-0.000892549919822551,0.0442455999873603
"IUH","external_validation","primary","egfr_reported","G2","aki2_rrt_7d","dr",484,0.0537190082644628,0.0867768595041322,0.681836045065206,0.395967309190019,1.17408781371662,0.167223205759568,-0.0217287609979337,-0.0518288776281481,0.00837135563228069,0.157425192260843
"IUH","external_validation","primary","egfr_reported","G2","death_48h_all","psm",623,0.0128410914927769,0.0224719101123595,0.565853658537341,0.235511113343755,1.3595552173062,0.202945278050332,-0.00963081861958288,-0.0242582943365161,0.00499665709735038,0.197125282220635
"IUH","external_validation","primary","egfr_reported","G2","death_48h_all","dr",623,0.0128410914927769,0.0224719101123595,1.26649176062524,0.620739642511792,2.58401634095915,0.516108905426988,-0.00330238921856952,-0.0161425205996436,0.00953774216250457,0.614282373527539
"IUH","external_validation","primary","egfr_reported","G2","death_48h_never","psm",470,0.0106382978723404,0.0297872340425532,0.350230414762714,0.124988284421937,0.981382727126499,0.0459613500296198,-0.0191489361702129,-0.0371192614094588,-0.00117861093096703,0.0370174265692876
"IUH","external_validation","primary","egfr_reported","G2","death_48h_never","dr",470,0.0106382978723404,0.0297872340425532,0.788562765463481,0.276490859102551,2.24901190981064,0.656864877391628,-0.0137084109117834,-0.0296951686955177,0.00227834687195087,0.0931622109609605
"IUH","external_validation","primary","egfr_reported","G2","death_48h_censored","psm",548,0.0109489051094891,0.0255474452554745,0.422245651039636,0.16091671132696,1.10797311448668,0.0798283087116688,-0.0145985401459852,-0.0304380315342857,0.00124095124231536,0.0711238698085377
"IUH","external_validation","primary","egfr_reported","G2","death_48h_censored","dr",548,0.0109489051094891,0.0255474452554745,1.0570087443287,0.454935978460758,2.45587849386527,0.897436604451714,-0.00796211203277266,-0.021826099396684,0.00590187533113872,0.260570034084773
"IUH","external_validation","primary","egfr_reported","G2","death_7d_all","psm",623,0.0240770465489567,0.0256821829855538,0.935958059486185,0.458361190858988,1.91119472282427,0.855813970429585,-0.0016051364365972,-0.0189160925398167,0.0157058196666223,0.855817548008972
"IUH","external_validation","primary","egfr_reported","G2","death_7d_all","dr",623,0.0240770465489567,0.0256821829855538,1.65318458935183,0.962349492799738,2.83994464268827,0.0686096153263895,0.00523755539294819,-0.00987436259976394,0.0203494733856603,0.497071415014349
"IUH","external_validation","primary","egfr_reported","G2","death_7d_never","psm",470,0.0234042553191489,0.0340425531914894,0.680010893723339,0.311909041788317,1.4825309741942,0.332141297503607,-0.0106382978723403,-0.0320057988154104,0.0107292030707298,0.329399949442687
"IUH","external_validation","primary","egfr_reported","G2","death_7d_never","dr",470,0.0234042553191489,0.0340425531914894,1.21861489697076,0.627641105514741,2.36603730072964,0.559183596169929,-0.00407513606286249,-0.0232583850110111,0.0151081128852861,0.677237635867624
"IUH","external_validation","primary","egfr_reported","G2","death_7d_censored","psm",484,0.0227272727272727,0.0330578512396694,0.680232558905103,0.312118715527399,1.48250108428364,0.332335345046416,-0.010330578512397,-0.0310885574231856,0.0104274003983916,0.329591719033396
"IUH","external_validation","primary","egfr_reported","G2","death_7d_censored","dr",484,0.0227272727272727,0.0330578512396694,1.16713214555186,0.601752136533086,2.26371850215373,0.6474830141105,-0.00396718559911071,-0.0227341674299116,0.0147997962316902,0.67872665402268
"IUH","external_validation","primary","egfr_reported","G2","hosp_mort_descriptive","psm",623,0.0321027287319422,0.0401284109149278,0.793366500830702,0.435730080439099,1.44454200638628,0.449010257648569,-0.00802568218298583,-0.0287573921471006,0.0127060277811289,0.448141462338588
"IUH","external_validation","primary","egfr_reported","G2","hosp_mort_descriptive","dr",623,0.0321027287319422,0.0401284109149278,1.23344917639063,0.711053292001071,2.13963831945305,0.455313422546565,0.00246585992214376,-0.0160203571061293,0.0209520769504168,0.79379469784675
"IUH","external_validation","primary","egfr_reported","G3plus","aki1_48h","psm",218,0.467889908256881,0.426605504587156,1.18186873453439,0.809216597888412,1.72613081505595,0.387241149721362,0.0412844036697256,-0.0521928500582363,0.134761657397687,0.387167150383424
"IUH","external_validation","primary","egfr_reported","G3plus","aki1_48h","dr",218,0.467889908256881,0.426605504587156,1.18330009854409,0.795586947574145,1.75995738427315,0.405988113737151,0.0397812242818796,-0.0544664534184696,0.134028901982229,0.40853073086109
"IUH","external_validation","primary","egfr_reported","G3plus","aki2_48h","psm",218,0.055045871559633,0.0688073394495413,0.788349515452465,0.359486425732911,1.72884124135439,0.552795395843204,-0.0137614678899082,-0.0590951716993414,0.0315722359195251,0.552169422964711
"IUH","external_validation","primary","egfr_reported","G3plus","aki2_48h","dr",218,0.055045871559633,0.0688073394495413,0.754946158244837,0.339751767380152,1.67752976310767,0.490150219322555,-0.0207415675180807,-0.0640217942272193,0.0225386591910579,0.348106048705496
"IUH","external_validation","primary","egfr_reported","G3plus","aki3_48h","psm",218,0.0275229357798165,0.0458715596330275,0.588679245307424,0.209653079085495,1.65293662925122,0.314447803720025,-0.0183486238532108,-0.0536849761256288,0.0169877284192071,0.309367415849048
"IUH","external_validation","primary","egfr_reported","G3plus","aki3_48h","dr",218,0.0275229357798165,0.0458715596330275,1.15149882694665,0.413015659149181,3.21040986966692,0.787425852386754,-0.0163953421629638,-0.0457074792145239,0.0129167948885962,0.27356869739572
"IUH","external_validation","primary","egfr_reported","G3plus","aki1_7d","psm",179,0.46927374301676,0.385474860335196,1.40961098398169,0.924681333378842,2.14885177675341,0.110494264812341,0.0837988826815649,-0.0186099334210736,0.186207698784203,0.109639424883109
"IUH","external_validation","primary","egfr_reported","G3plus","aki1_7d","dr",179,0.46927374301676,0.385474860335196,1.43433744795788,0.92760770440736,2.21788144367421,0.104788504599874,0.0854870840953865,-0.0171708761664174,0.18814504435719,0.103551934106845
"IUH","external_validation","primary","egfr_reported","G3plus","aki2_7d","psm",179,0.111731843575419,0.0558659217877095,2.12578616166873,0.963233024848703,4.69145750671501,0.0618667530834853,0.0558659217877102,-0.00140807882589863,0.113139922401319,0.0567026489681479
"IUH","external_validation","primary","egfr_reported","G3plus","aki2_7d","dr",179,0.111731843575419,0.0558659217877095,1.74100797606687,0.745275148615598,4.06710028954936,0.200249594903989,0.0367607495315256,-0.0190963001920917,0.092617799255143,0.197937779734798
"IUH","external_validation","primary","egfr_reported","G3plus","aki3_7d","psm",179,0.0670391061452514,0.0223463687150838,3.14371257022527,0.990917689853304,9.97351124658539,0.0518338780967302,0.0446927374301676,0.00201549176398964,0.0873699830963456,0.0408455527499738
