"db","comparison","variable","label","n_treated","n_control","coverage_treated","coverage_control","mean_or_prevalence_treated","mean_or_prevalence_control","signed_smd","abs_smd","source","note"
"EICU","eligible ever-treated vs never-treated source cohort","egfr","baseline eGFR",2298,16778,1,1,70.9646844958399,75.912134648954,-0.181864081119171,0.181864081119171,"did_all","Same raw source-cohort contrast used in frozen balance tables."
"EICU","not available as a clean pre-T0 comparison","vaso_at_t0","vasopressor status at T0",NA,NA,NA,NA,NA,NA,NA,NA,"unavailable","eICU medication records lack a clean continuous-at-T0 interval."
"EICU","eligible ever-treated vs never-treated source cohort","map_before_t0_descriptive","most recent MAP strictly before T0 (available case)",2298,16778,0.759791122715405,0.38478960543569,73.414089347079,79.8969950433705,-0.381374922331111,0.381374922331111,"eICU MAP stream","Informative hospital-level missingness; descriptive only and excluded from PS."
"EICU","not available as a clean pre-T0 comparison","vent_at_t0","ventilation status at T0",NA,NA,NA,NA,NA,NA,NA,NA,"unavailable","Available APACHE day-1 proxy is post-T0 contaminated and was excluded."
"EICU","not available as a clean pre-T0 comparison","rbc_before_t0","any RBC administration strictly before T0",NA,NA,NA,NA,NA,NA,NA,NA,"unavailable","No harmonized pre-T0 transfusion stream in this analysis frame."
