"db","population","arm","n_pair_members","n_time_order_valid","n_time_order_invalid_or_missing","n_missing_reference_or_baseline","n_early_reference_after_pair_baseline","n_same_timestamp","q25_dip","median_dip","q75_dip","mean_dip","fraction_baseline_lower_than_early","fraction_dip_ge_0_1"
"IUH","frozen_pair_members_pair_weighted","treated",1375,1005,370,0,370,396,0,0,0,-0.00686567164179105,0.0865671641791045,0.0318407960199005
"IUH","frozen_pair_members_pair_weighted","control",1375,996,379,0,379,372,0,0,0,-0.0044277108433735,0.0682730923694779,0.0331325301204819
