"db","outcome","modifier","method","n_pairs","events_trt","events_ctl","scale","estimate","ci_lo","ci_hi","p","log_estimate","se"
"EICU","aki1_48h","eGFR_per_30","frozen_pairs_hc1",1887,454,422,"OR",0.620604330023903,0.514031434080337,0.74927272713097,6.94785854855829e-07,-0.477061549834765,0.0961271988590951
"EICU","aki1_48h","eGFR_per_30","frozen_pairs_hc1",1887,454,422,"RD",-0.0876553646328001,-0.121053325892024,-0.0542574033735761,2.82401264629666e-07,NA,0.0170397761526653
"EICU","aki1_7d","eGFR_per_30","frozen_pairs_hc1",1815,485,442,"OR",0.702291856179734,0.58223701543177,0.8471015036559,0.000220029320405666,-0.353406211812441,0.0956487037394245
"EICU","aki1_7d","eGFR_per_30","frozen_pairs_hc1",1815,485,442,"RD",-0.0703565683069077,-0.106037152204498,-0.0346759844093175,0.000113119063113512,NA,0.0182043795395869
