"db","variant","stratum","horizon","n_pairs","no_post_cr_trt","no_post_cr_ctl","rate_trt","rate_ctl","rate_difference"
"EICU","egfr","G1","48h",589,19,11,0.032258064516129,0.0186757215619694,0.0135823429541596
"EICU","egfr","G1","7d",589,10,5,0.0169779286926995,0.00848896434634975,0.00848896434634975
"EICU","egfr","G2","48h",783,55,17,0.070242656449553,0.0217113665389527,0.0485312899106003
"EICU","egfr","G2","7d",783,18,9,0.0229885057471264,0.0114942528735632,0.0114942528735632
"EICU","egfr","G3plus","48h",546,34,10,0.0622710622710623,0.0183150183150183,0.043956043956044
"EICU","egfr","G3plus","7d",546,18,10,0.032967032967033,0.0183150183150183,0.0146520146520147
