"db","analysis","cut","stratum","outcome","method","events_trt","events_ctl","sparse_lt20","match_rate","max_smd","n_viol","adjustment_vars","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"MIMIC","threshold_sweep",3.5,"Overall","aki1_48h","psm",1658,1180,FALSE,1,0.270902822581437,4,"",4690,0.353518123667377,0.251599147121535,1.62659876570335,1.4879631392689,1.77815126918242,9.77371480484338e-27,0.101918976545842,0.0834390309521081,0.120398922139576,4.4744723946196e-27
"MIMIC","threshold_sweep",3.5,"Overall","aki1_48h","dr",1658,1180,FALSE,1,0.270902822581437,4,"heart_failure;egfr;last_hemoglobin;alb_cat",4690,0.353518123667377,0.251599147121535,1.88246077439464,1.71303990488616,2.06863748884469,1.78091917589936e-39,0.122746730827495,0.104807625879478,0.140685835775512,1.2316034424999e-40
"MIMIC","threshold_sweep",3.5,"Overall","aki2_48h","psm",235,134,FALSE,1,0.270902822581437,4,"",4690,0.0501066098081023,0.0285714285714286,1.79349046012056,1.44482660636851,2.226293464119,1.18063528668506e-07,0.0215351812366737,0.0136781120216185,0.0293922504517289,7.96895920105428e-08
"MIMIC","threshold_sweep",3.5,"Overall","aki2_48h","dr",235,134,FALSE,1,0.270902822581437,4,"heart_failure;egfr;last_hemoglobin;alb_cat",4690,0.0501066098081023,0.0285714285714286,1.96949147894281,1.58615316983561,2.44547421988908,8.40892007552684e-10,0.0239519820080519,0.0161545182788893,0.0317494457372145,1.80229370967217e-09
"MIMIC","threshold_sweep",3.5,"Overall","aki1_7d","psm",1674,1214,FALSE,1,0.270902822581437,4,"",4202,0.398381722989053,0.288910042836744,1.6298224302935,1.48817501680331,1.7849521220923,6.27596375345518e-26,0.109471680152309,0.0892965787421726,0.129646781562445,3.00330332099572e-26
"MIMIC","threshold_sweep",3.5,"Overall","aki1_7d","dr",1674,1214,FALSE,1,0.270902822581437,4,"heart_failure;egfr;last_hemoglobin;alb_cat",4202,0.398381722989053,0.288910042836744,1.76211860592454,1.60321899344524,1.93676721273918,7.09865158458793e-32,0.118912184984703,0.0993230482300093,0.138501321739396,2.20994834753633e-32
"MIMIC","threshold_sweep",3.5,"Overall","aki2_7d","psm",347,202,FALSE,1,0.270902822581437,4,"",4202,0.0825797239409805,0.0480723465016659,1.78243503319515,1.49025338711576,2.13190231609559,2.49143842557596e-10,0.0345073774393148,0.0239657742312148,0.0450489806474148,1.47511097207597e-10
"MIMIC","threshold_sweep",3.5,"Overall","aki2_7d","dr",347,202,FALSE,1,0.270902822581437,4,"heart_failure;egfr;last_hemoglobin;alb_cat",4202,0.0825797239409805,0.0480723465016659,1.92044000629004,1.60213770001993,2.30198054618739,1.69001399605355e-12,0.0371014011095362,0.0266879352587907,0.0475148669602816,3.1062508858546e-12
"MIMIC","threshold_sweep",3,"Overall","aki1_48h","psm",1650,1097,FALSE,0.999815770081061,0.284896532830293,4,"",4724,0.349280270956816,0.232218458933108,1.77468389865173,1.62157223089333,1.94225263613367,1.2196978169816e-35,0.117061812023709,0.0988989807402514,0.135224643307167,2.74614819567226e-36
"MIMIC","threshold_sweep",3,"Overall","aki1_48h","dr",1650,1097,FALSE,0.999815770081061,0.284896532830293,4,"heart_failure;egfr;last_hemoglobin;alb_cat",4724,0.349280270956816,0.232218458933108,2.01387532146654,1.82957574462402,2.21674004059637,2.30531775657734e-46,0.133203217338889,0.115410382759896,0.150996051917883,3.24230955390375e-48
"MIMIC","threshold_sweep",3,"Overall","aki2_48h","psm",230,120,FALSE,0.999815770081061,0.284896532830293,4,"",4724,0.0486875529212532,0.0254022015241321,1.96358107071138,1.56868101232148,2.45789334541004,3.85786032611612e-09,0.0232853513971213,0.0156820449964433,0.0308886577977993,2.01383364167995e-09
"MIMIC","threshold_sweep",3,"Overall","aki2_48h","dr",230,120,FALSE,0.999815770081061,0.284896532830293,4,"heart_failure;egfr;last_hemoglobin;alb_cat",4724,0.0486875529212532,0.0254022015241321,2.16966842296138,1.722963844221,2.73218795703986,4.53078201110067e-11,0.0261873172339459,0.0185219622440104,0.0338526722238813,2.26421181499794e-11
"MIMIC","threshold_sweep",3,"Overall","aki1_7d","psm",1625,1137,FALSE,0.999815770081061,0.284896532830293,4,"",4207,0.386260993582125,0.270263845971001,1.69931948875021,1.54978995644686,1.8632761896759,1.59480169008876e-29,0.115997147611124,0.0960808447975149,0.135913450424733,5.81075871802828e-30
"MIMIC","threshold_sweep",3,"Overall","aki1_7d","dr",1625,1137,FALSE,0.999815770081061,0.284896532830293,4,"heart_failure;egfr;last_hemoglobin;alb_cat",4207,0.386260993582125,0.270263845971001,1.84800463699167,1.6790198254782,2.0339969108882,3.89724834051557e-36,0.126031417527292,0.106639068267791,0.145423766786794,7.9421310241469e-37
"MIMIC","threshold_sweep",3,"Overall","aki2_7d","psm",342,193,FALSE,0.999815770081061,0.284896532830293,4,"",4207,0.0812930829569765,0.0458759210839078,1.84033403152184,1.53422179834634,2.20752263540247,4.98403863133968e-11,0.0354171618730685,0.0250155732675977,0.0458187504785392,2.65122069602551e-11
"MIMIC","threshold_sweep",3,"Overall","aki2_7d","dr",342,193,FALSE,0.999815770081061,0.284896532830293,4,"heart_failure;egfr;last_hemoglobin;alb_cat",4207,0.0812930829569765,0.0458759210839078,1.99658213076393,1.65787453737925,2.40448846701475,3.09928151571018e-13,0.0387684890674067,0.0284680302159734,0.04906894791884,1.77331817978455e-13
"MIMIC","threshold_sweep",2.5,"Overall","aki1_48h","psm",1674,1185,FALSE,1,0.252540411070446,3,"",4760,0.351680672268908,0.248949579831933,1.63650458993596,1.49768178703405,1.78819512667318,1.27252060206374e-27,0.102731092436975,0.0844286428614435,0.121033542012506,5.54371930989342e-28
"MIMIC","threshold_sweep",2.5,"Overall","aki1_48h","dr",1674,1185,FALSE,1,0.252540411070446,3,"egfr;last_hemoglobin;alb_cat",4760,0.351680672268908,0.248949579831933,1.90886758952118,1.73751692837022,2.09711653154495,2.26098903637714e-41,0.125480433430081,0.107630956250143,0.143329910610019,8.81137824225298e-43
"MIMIC","threshold_sweep",2.5,"Overall","aki2_48h","psm",234,150,FALSE,1,0.252540411070446,3,"",4760,0.0491596638655462,0.0315126050420168,1.58895271762696,1.28915133816411,1.95847505572903,1.41949398700467e-05,0.0176470588235295,0.00974968413215182,0.0255444335149072,1.20106798450845e-05
"MIMIC","threshold_sweep",2.5,"Overall","aki2_48h","dr",234,150,FALSE,1,0.252540411070446,3,"egfr;last_hemoglobin;alb_cat",4760,0.0491596638655462,0.0315126050420168,1.85804695457463,1.5068105654398,2.29115627709739,6.82428039893596e-09,0.022656225586686,0.0149542042731307,0.0303582469002413,8.39407728374521e-09
"MIMIC","threshold_sweep",2.5,"Overall","aki1_7d","psm",1677,1192,FALSE,1,0.252540411070446,3,"",4268,0.392924086223055,0.279287722586692,1.67022786672126,1.52523220337408,1.82900749184357,1.73314341519989e-28,0.113636363636363,0.093737299517604,0.133535427755123,7.01953410654144e-29
"MIMIC","threshold_sweep",2.5,"Overall","aki1_7d","dr",1677,1192,FALSE,1,0.252540411070446,3,"egfr;last_hemoglobin;alb_cat",4268,0.392924086223055,0.279287722586692,1.80503493897107,1.64274269306674,1.9833605985024,1.07153481876873e-34,0.124601945084074,0.105068302275917,0.144135587892231,1.48061303730196e-35
"MIMIC","threshold_sweep",2.5,"Overall","aki2_7d","psm",356,228,FALSE,1,0.252540411070446,3,"",4268,0.0834114339268978,0.0534208059981256,1.61249237301074,1.35770094130975,1.91509895434668,5.18480625968906e-08,0.0299906279287724,0.0192968171124076,0.0406844387451372,3.97918713954227e-08
"MIMIC","threshold_sweep",2.5,"Overall","aki2_7d","dr",356,228,FALSE,1,0.252540411070446,3,"egfr;last_hemoglobin;alb_cat",4268,0.0834114339268978,0.0534208059981256,1.80145824763574,1.51183332057485,2.146567200107,4.641739797324e-11,0.0355568023913454,0.0250004352050889,0.0461131695776019,4.30370008414718e-11
