"db","sampling_scheme","outcome","method","events_trt","events_ctl","sparse_lt20","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"IUH","native","aki1_48h","psm",293,301,FALSE,1235,0.237246963562753,0.243724696356275,0.965155074027522,0.802431334596855,1.16087729473959,0.706559613973237,-0.00647773279352413,-0.0401997622829924,0.0272442966959442,0.706577311498847
"IUH","native","aki1_48h","dr",293,301,FALSE,1235,0.237246963562753,0.243724696356275,1.21349126193138,0.993303081805279,1.48248915135499,0.0581955308818266,0.0251828653148802,-0.0069185062877921,0.0572842369175526,0.124279976762482
"IUH","native","aki2_48h","psm",46,49,FALSE,1235,0.037246963562753,0.0396761133603239,0.936406858790657,0.621128949366315,1.41171620817991,0.753739986588571,-0.00242914979757073,-0.017603198851739,0.0127448992565975,0.753723637914188
"IUH","native","aki2_48h","dr",46,49,FALSE,1235,0.037246963562753,0.0396761133603239,1.08470036728669,0.709690463299307,1.65787050501151,0.707188737918612,0.00254743721503294,-0.0128891125170301,0.017983986947096,0.746380727326674
"IUH","native","aki1_7d","psm",288,295,FALSE,1069,0.269410664172124,0.275958840037418,0.967520996549695,0.79972750273517,1.1705198027615,0.734026106625618,-0.00654817586529656,-0.0443197843009036,0.0312234325703105,0.734047889942794
"IUH","native","aki1_7d","dr",288,295,FALSE,1069,0.269410664172124,0.275958840037418,1.13693009283991,0.92605968814533,1.39581719467104,0.220165013265756,0.0197422164231354,-0.016883745295733,0.0563681781420038,0.290866991298858
"IUH","native","aki2_7d","psm",68,67,FALSE,1069,0.0636108512628625,0.0626753975678204,1.01593928457088,0.716825711803725,1.4398655251041,0.929179637211524,0.000935453695042099,-0.0196938370999734,0.0215647444900576,0.929187233125212
"IUH","native","aki2_7d","dr",68,67,FALSE,1069,0.0636108512628625,0.0626753975678204,1.08264837472973,0.744499334782367,1.57438354682688,0.677661354365661,0.00383710761054941,-0.0173229619763247,0.0249971771974235,0.72230950466915
"IUH","closest_anchor","aki1_48h","psm",277,285,FALSE,1235,0.224291497975708,0.230769230769231,0.963813500347478,0.798446682348782,1.16342954888286,0.701134135883939,-0.00647773279352304,-0.0395573837368097,0.0266019181497636,0.701151094758184
"IUH","closest_anchor","aki1_48h","dr",277,285,FALSE,1235,0.224291497975708,0.230769230769231,1.21273404628496,0.988718936055796,1.48750450040505,0.0641528543643825,0.0234071009204478,-0.00811155280309768,0.0549257546439934,0.145636343318138
"IUH","closest_anchor","aki2_48h","psm",41,49,FALSE,1235,0.0331983805668016,0.0396761133603239,0.831128431272751,0.544602692866355,1.2684007595229,0.391098106079137,-0.0064777327935216,-0.0212606920193356,0.00830522643229243,0.390506245347235
"IUH","closest_anchor","aki2_48h","dr",41,49,FALSE,1235,0.0331983805668016,0.0396761133603239,0.972440465477561,0.627422318612007,1.50718332906961,0.900521081640103,-0.00120508818380403,-0.0162919308712473,0.0138817545036393,0.875605685271597
"IUH","closest_anchor","aki1_7d","psm",278,281,FALSE,1069,0.260056127221703,0.262862488306829,0.985571667019149,0.812570296118595,1.19540612728617,0.882675367448939,-0.00280636108512827,-0.040077485654561,0.0344647634843045,0.882688270980191
"IUH","closest_anchor","aki1_7d","dr",278,281,FALSE,1069,0.260056127221703,0.262862488306829,1.1523161524121,0.935571691817056,1.41927393349292,0.18234634155409,0.0216778509071343,-0.0144065260550246,0.0577622278692932,0.239136077180144
"IUH","closest_anchor","aki2_7d","psm",61,67,FALSE,1069,0.0570626753975678,0.0626753975678204,0.905028429731639,0.632755940355364,1.29445874212182,0.584714590257622,-0.00561272217025215,-0.0257337596009471,0.0145083152604428,0.584615862265402
"IUH","closest_anchor","aki2_7d","dr",61,67,FALSE,1069,0.0570626753975678,0.0626753975678204,0.986145840808652,0.670985755601388,1.44933571424715,0.943387408763852,-0.00157267330276603,-0.0223480041336988,0.0192026575281668,0.882064679566761
"IUH","first_of_day","aki1_48h","psm",268,282,FALSE,1235,0.217004048582996,0.22834008097166,0.936595597995516,0.774750848472904,1.13224956889512,0.498561564052825,-0.011336032388666,-0.0441612933629419,0.0214892285856099,0.498548219652209
"IUH","first_of_day","aki1_48h","dr",268,282,FALSE,1235,0.217004048582996,0.22834008097166,1.15656876222598,0.942193109869465,1.41972095501979,0.164316746566892,0.01581365114732,-0.0156039263379639,0.0472312286326039,0.323964250437705
"IUH","first_of_day","aki2_48h","psm",29,38,FALSE,1235,0.0234817813765182,0.0307692307692308,0.757462687067592,0.464016578033449,1.23648539612802,0.266567673210035,-0.00728744939271272,-0.0201025360719444,0.005527637286519,0.265140258016079
"IUH","first_of_day","aki2_48h","dr",29,38,FALSE,1235,0.0234817813765182,0.0307692307692308,0.864736628282037,0.523582902654434,1.4281777202838,0.57021773748483,-0.00391065896680167,-0.0168689923037457,0.00904767437014236,0.554237848454572
"IUH","first_of_day","aki1_7d","psm",273,282,FALSE,1069,0.255378858746492,0.263797942001871,0.957139420506898,0.788760502287798,1.16146265898341,0.657221040184743,-0.00841908325537862,-0.0456021040916,0.0287639375808427,0.657240334606946
"IUH","first_of_day","aki1_7d","dr",273,282,FALSE,1069,0.255378858746492,0.263797942001871,1.1057570071881,0.898316967474686,1.36109925918776,0.342932695393514,0.0142336307288987,-0.0220263719450265,0.0504936334028238,0.441749908830343
"IUH","first_of_day","aki2_7d","psm",58,59,FALSE,1069,0.0542563143124415,0.0551917680074836,0.982078492895945,0.676367909490272,1.42596677440777,0.924280778110565,-0.000935453695041873,-0.0202263724183829,0.0183554650282992,0.924288662923995
