"db","modifier","outcome","n","interaction_or","ci_lo","ci_hi","p_interaction"
"EICU","eGFR_per_30","aki1_48h",1887,0.620604330023903,0.514031434080337,0.74927272713097,6.9478585485586e-07
"EICU","eGFR_per_30","aki2_48h",1887,1.08735894225203,0.709224831137782,1.66710106215352,0.700879534159647
"EICU","eGFR_per_30","aki3_48h",1887,0.715859846012578,0.30079181938516,1.70368768732024,0.44987809661543
"EICU","eGFR_per_30","aki1_7d",1815,0.702291856179734,0.582237015431771,0.847101503655899,0.000220029320405653
"EICU","eGFR_per_30","aki2_7d",1815,0.945807743319515,0.65895109983412,1.35753971356652,0.762518101951309
"EICU","eGFR_per_30","aki3_7d",1815,0.608191560031353,0.326101032267414,1.13430175648767,0.117883112205427
"EICU","eGFR_per_30","aki2_rrt_48h",1887,0.835478648001251,0.567663363563915,1.22964527230302,0.361980365916479
"EICU","eGFR_per_30","aki2_rrt_7d",1815,0.726647366215324,0.524351550888581,1.00698928787924,0.0550906649848293
"EICU","eGFR_per_30","death_48h_all",1949,0.388193635566344,0.222729002220072,0.676581393496832,0.000842574843004407
"EICU","eGFR_per_30","death_48h_never",1790,0.390759742980468,0.217235382642337,0.702892755668448,0.0017071615693667
"EICU","eGFR_per_30","death_48h_censored",1887,0.361457526326991,0.204089767704958,0.640167044176872,0.000484011990971517
"EICU","eGFR_per_30","death_7d_all",1949,0.617772768379835,0.435741684999272,0.875847334533356,0.00684420874195536
"EICU","eGFR_per_30","death_7d_never",1790,0.544014494388218,0.368037390186211,0.804135063436706,0.00226331122495817
"EICU","eGFR_per_30","death_7d_censored",1815,0.519850954130866,0.352759013872027,0.766089607589193,0.000943483528034603
"EICU","eGFR_per_30","hosp_mort_descriptive",1949,0.591520187733742,0.440493956800385,0.794326748630337,0.000481381584221532
