"db","database_role","analysis_set","variant","stratum","outcome","method","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"IUH","external_validation","primary","pooled","Overall","aki1_48h","psm",1235,0.237246963562753,0.243724696356275,0.965155074027531,0.802431334596872,1.16087729473958,0.706559613973288,-0.00647773279352233,-0.0401997622829906,0.027244296695946,0.706577311498926
"IUH","external_validation","primary","pooled","Overall","aki1_48h","dr",1235,0.237246963562753,0.243724696356275,1.21349126193138,0.993303081805279,1.482489151355,0.0581955308818266,0.0251828653148817,-0.00691850628779066,0.0572842369175541,0.12427997676246
"IUH","external_validation","primary","pooled","Overall","aki2_48h","psm",1235,0.037246963562753,0.0396761133603239,0.936406858790658,0.62112894936632,1.4117162081799,0.753739986588572,-0.002429149797571,-0.0176031988517393,0.0127448992565973,0.753723637914161
"IUH","external_validation","primary","pooled","Overall","aki2_48h","dr",1235,0.037246963562753,0.0396761133603239,1.08470036728669,0.709690463299305,1.65787050501152,0.707188737918614,0.00254743721503262,-0.0128891125170305,0.0179839869470957,0.746380727326705
"IUH","external_validation","primary","pooled","Overall","aki3_48h","psm",1235,0.00890688259109312,0.0218623481781377,0.402081820728077,0.198501061072943,0.814453029551295,0.011409631714034,-0.0129554655870443,-0.0226535904004435,-0.00325734077364508,0.00889063672891099
"IUH","external_validation","primary","pooled","Overall","aki3_48h","dr",1235,0.00890688259109312,0.0218623481781377,0.612059383944078,0.23417497430472,1.59972981991891,0.316578583534236,-0.0114941333170703,-0.0210853630592956,-0.00190290357484503,0.0189094401567981
"IUH","external_validation","primary","pooled","Overall","aki1_7d","psm",1069,0.269410664172124,0.275958840037418,0.96752099654969,0.799727502735168,1.17051980276149,0.734026106625573,-0.00654817586529466,-0.0443197843009019,0.0312234325703126,0.734047889942869
"IUH","external_validation","primary","pooled","Overall","aki1_7d","dr",1069,0.269410664172124,0.275958840037418,1.13693009283991,0.926059688145331,1.39581719467104,0.220165013265752,0.0197422164231373,-0.0168837452957312,0.0563681781420058,0.290866991298813
"IUH","external_validation","primary","pooled","Overall","aki2_7d","psm",1069,0.0636108512628625,0.0626753975678204,1.01593928457088,0.71682571180373,1.4398655251041,0.92917963721151,0.000935453695042165,-0.0196938370999733,0.0215647444900576,0.929187233125207
"IUH","external_validation","primary","pooled","Overall","aki2_7d","dr",1069,0.0636108512628625,0.0626753975678204,1.08264837472973,0.744499334782369,1.57438354682688,0.677661354365659,0.00383710761054948,-0.0173229619763247,0.0249971771974237,0.722309504669147
"IUH","external_validation","primary","pooled","Overall","aki3_7d","psm",1069,0.0215154349859682,0.0168381665107577,1.28388560569765,0.688584607830346,2.39384126478144,0.431771448502407,0.00467726847521078,-0.00695342835211728,0.0163079653025388,0.430660607057283
