"db","method","scale","n_hospitals","min","q25","median","q75","max","n_or_ge_1_5","same_hospital_pair_fraction"
"EICU","psm","or",7,0.693214399490637,0.834205468166619,1.19607843137479,1.4043539389558,2.14187500000611,1,0.0290350941979814
"EICU","psm","rd",7,-0.0841121495327102,-0.0315820160663385,0.032051282051282,0.058195211786372,0.120689655172414,NA,0.0290350941979814
"EICU","dr","or",7,0.540834063881706,1.06549520537115,1.46460323068317,1.60975660075694,3.76174891570539,2,0.0290350941979814
"EICU","dr","rd",7,-0.102031319733279,0.0132039246261972,0.0567404697110449,0.0779651416213694,0.159051692293304,NA,0.0290350941979814
