"variant","stratum","outcome","arm","n","events","sparse_lt20"
"egfr_reported","G1","aki3_7d","ctl",347,1,TRUE
"egfr_reported","G1","aki2_rrt_48h","trt",443,14,TRUE
"egfr_reported","G1","aki2_rrt_48h","ctl",443,10,TRUE
"egfr_reported","G1","aki2_rrt_7d","trt",347,16,TRUE
"egfr_reported","G1","aki2_rrt_7d","ctl",347,19,TRUE
"egfr_reported","G1","death_48h_all","trt",474,0,TRUE
"egfr_reported","G1","death_48h_all","ctl",474,0,TRUE
"egfr_reported","G1","death_48h_never","trt",333,0,TRUE
"egfr_reported","G1","death_48h_never","ctl",333,0,TRUE
"egfr_reported","G1","death_48h_censored","trt",443,0,TRUE
"egfr_reported","G1","death_48h_censored","ctl",443,0,TRUE
"egfr_reported","G1","death_7d_all","trt",474,1,TRUE
"egfr_reported","G1","death_7d_all","ctl",474,0,TRUE
"egfr_reported","G1","death_7d_never","trt",333,1,TRUE
"egfr_reported","G1","death_7d_never","ctl",333,0,TRUE
"egfr_reported","G1","death_7d_censored","trt",347,1,TRUE
"egfr_reported","G1","death_7d_censored","ctl",347,0,TRUE
"egfr_reported","G2","aki1_48h","trt",548,118,FALSE
"egfr_reported","G2","aki1_48h","ctl",548,103,FALSE
"egfr_reported","G2","aki2_48h","trt",548,21,FALSE
"egfr_reported","G2","aki2_48h","ctl",548,15,TRUE
"egfr_reported","G2","aki3_48h","trt",548,3,TRUE
"egfr_reported","G2","aki3_48h","ctl",548,1,TRUE
"egfr_reported","G2","aki1_7d","trt",484,117,FALSE
"egfr_reported","G2","aki1_7d","ctl",484,99,FALSE
"egfr_reported","G2","aki2_7d","trt",484,26,FALSE
"egfr_reported","G2","aki2_7d","ctl",484,29,FALSE
"egfr_reported","G2","aki3_7d","trt",484,7,TRUE
"egfr_reported","G2","aki3_7d","ctl",484,9,TRUE
"egfr_reported","G2","aki2_rrt_48h","trt",548,22,FALSE
"egfr_reported","G2","aki2_rrt_48h","ctl",548,28,FALSE
"egfr_reported","G2","aki2_rrt_7d","trt",484,26,FALSE
"egfr_reported","G2","aki2_rrt_7d","ctl",484,42,FALSE
"egfr_reported","G2","death_48h_all","trt",623,8,TRUE
"egfr_reported","G2","death_48h_all","ctl",623,14,TRUE
"egfr_reported","G2","death_48h_never","trt",470,5,TRUE
"egfr_reported","G2","death_48h_never","ctl",470,14,TRUE
"egfr_reported","G2","death_48h_censored","trt",548,6,TRUE
"egfr_reported","G2","death_48h_censored","ctl",548,14,TRUE
"egfr_reported","G2","death_7d_all","trt",623,15,TRUE
"egfr_reported","G2","death_7d_all","ctl",623,16,TRUE
"egfr_reported","G2","death_7d_never","trt",470,11,TRUE
"egfr_reported","G2","death_7d_never","ctl",470,16,TRUE
"egfr_reported","G2","death_7d_censored","trt",484,11,TRUE
"egfr_reported","G2","death_7d_censored","ctl",484,16,TRUE
"egfr_reported","G3plus","aki1_48h","trt",218,102,FALSE
"egfr_reported","G3plus","aki1_48h","ctl",218,93,FALSE
"egfr_reported","G3plus","aki2_48h","trt",218,12,TRUE
"egfr_reported","G3plus","aki2_48h","ctl",218,15,TRUE
"egfr_reported","G3plus","aki3_48h","trt",218,6,TRUE
"egfr_reported","G3plus","aki3_48h","ctl",218,10,TRUE
"egfr_reported","G3plus","aki1_7d","trt",179,84,FALSE
"egfr_reported","G3plus","aki1_7d","ctl",179,69,FALSE
"egfr_reported","G3plus","aki2_7d","trt",179,20,FALSE
"egfr_reported","G3plus","aki2_7d","ctl",179,10,TRUE
"egfr_reported","G3plus","aki3_7d","trt",179,12,TRUE
"egfr_reported","G3plus","aki3_7d","ctl",179,4,TRUE
"egfr_reported","G3plus","aki2_rrt_48h","trt",218,19,TRUE
"egfr_reported","G3plus","aki2_rrt_48h","ctl",218,30,FALSE
"egfr_reported","G3plus","aki2_rrt_7d","trt",179,25,FALSE
"egfr_reported","G3plus","aki2_rrt_7d","ctl",179,17,TRUE
"egfr_reported","G3plus","death_48h_all","trt",277,4,TRUE
"egfr_reported","G3plus","death_48h_all","ctl",277,8,TRUE
"egfr_reported","G3plus","death_48h_never","trt",161,0,TRUE
"egfr_reported","G3plus","death_48h_never","ctl",161,8,TRUE
"egfr_reported","G3plus","death_48h_censored","trt",218,1,TRUE
"egfr_reported","G3plus","death_48h_censored","ctl",218,8,TRUE
"egfr_reported","G3plus","death_7d_all","trt",277,10,TRUE
"egfr_reported","G3plus","death_7d_all","ctl",277,18,TRUE
"egfr_reported","G3plus","death_7d_never","trt",161,1,TRUE
"egfr_reported","G3plus","death_7d_never","ctl",161,9,TRUE
"egfr_reported","G3plus","death_7d_censored","trt",179,3,TRUE
"egfr_reported","G3plus","death_7d_censored","ctl",179,9,TRUE
