"db","group_type","group_level","method","events_trt","events_ctl","sparse_lt20","hospital_eligibility","hospitalid","teachingstatus","numbedscategory","region","same_hospital_pair_fraction","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"EICU","hospital","252","psm",31,23,FALSE,TRUE,252,"Teaching",">= 500","Midwest",0.032520325203252,120,0.258333333333333,0.191666666666667,1.46897899365357,0.795074501853761,2.71408437670206,0.219508619801037,0.0666666666666666,-0.0391006819156996,0.172434015249033,0.217893844848445
"EICU","hospital","252","dr",31,23,FALSE,TRUE,252,"Teaching",">= 500","Midwest",0.032520325203252,120,0.258333333333333,0.191666666666667,1.73180151518244,0.885581068849869,3.38663121139576,0.108517764781546,0.0910166953525872,-0.0179016826850168,0.199935073390191,0.102795503989494
"EICU","hospital","253","psm",2,4,TRUE,FALSE,253,"Non-teaching","100 - 249","Midwest",0,17,0.117647058823529,0.235294117647059,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","253","dr",2,4,TRUE,FALSE,253,"Non-teaching","100 - 249","Midwest",0,17,0.117647058823529,0.235294117647059,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","254","psm",0,1,TRUE,FALSE,254,"Non-teaching","Unknown","Midwest",0,7,0,0.142857142857143,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","254","dr",0,1,TRUE,FALSE,254,"Non-teaching","Unknown","Midwest",0,7,0,0.142857142857143,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","256","psm",0,0,TRUE,FALSE,256,"Non-teaching","100 - 249","Midwest",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","256","dr",0,0,TRUE,FALSE,256,"Non-teaching","100 - 249","Midwest",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","264","psm",3,0,TRUE,FALSE,264,"Teaching",">= 500","Midwest",0.142857142857143,7,0.428571428571429,0,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","264","dr",3,0,TRUE,FALSE,264,"Teaching",">= 500","Midwest",0.142857142857143,7,0.428571428571429,0,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","271","psm",0,0,TRUE,FALSE,271,"Non-teaching","Unknown","Midwest",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","271","dr",0,0,TRUE,FALSE,271,"Non-teaching","Unknown","Midwest",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","282","psm",7,5,TRUE,FALSE,282,"Non-teaching","100 - 249","Midwest",0,22,0.318181818181818,0.227272727272727,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","282","dr",7,5,TRUE,FALSE,282,"Non-teaching","100 - 249","Midwest",0,22,0.318181818181818,0.227272727272727,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","352","psm",1,0,TRUE,FALSE,352,"Non-teaching","Unknown","Unknown",0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","352","dr",1,0,TRUE,FALSE,352,"Non-teaching","Unknown","Unknown",0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","413","psm",44,35,FALSE,TRUE,413,"Non-teaching","Unknown","West",0.0108695652173913,181,0.243093922651934,0.193370165745856,1.33972888425802,0.810305521775585,2.21505769747469,0.254260536033591,0.0497237569060775,-0.0354576582089707,0.134905172021126,0.253330130166245
"EICU","hospital","413","dr",44,35,FALSE,TRUE,413,"Non-teaching","Unknown","West",0.0108695652173913,181,0.243093922651934,0.193370165745856,1.48771168633145,0.862159625611661,2.56714185621595,0.153535947439534,0.0649135878901516,-0.023667356623709,0.153494532404012,0.151789304970454
"EICU","hospital","420","psm",46,25,FALSE,TRUE,420,"Teaching",">= 500","Northeast",0.0169491525423729,174,0.264367816091954,0.14367816091954,2.14187500000611,1.24464523856076,3.68589247242537,0.00595582491562071,0.120689655172414,0.0367217646739629,0.204657545670865,0.00512306280538469
"EICU","hospital","420","dr",46,25,FALSE,TRUE,420,"Teaching",">= 500","Northeast",0.0169491525423729,174,0.264367816091954,0.14367816091954,3.76174891570539,1.69878539384066,8.32992499000612,0.00108885038846338,0.159051692293304,0.0665242110833483,0.251579173503259,0.000839972912259775
"EICU","hospital","443","psm",14,7,TRUE,FALSE,443,"Teaching",">= 500","South",0.0357142857142857,55,0.254545454545455,0.127272727272727,2.34146341459274,0.854797420378351,6.41374294209926,0.097958223269076,0.127272727272728,-0.0190181344474578,0.273563588992913,0.0910327239685321
"EICU","hospital","443","dr",14,7,TRUE,FALSE,443,"Teaching",">= 500","South",0.0357142857142857,55,0.254545454545455,0.127272727272727,2.21313988728881,0.786356975737674,6.22870822264144,0.132388880653351,0.116637989796972,-0.0312385906586291,0.264514570252573,0.125153201981305
"EICU","hospital","444","psm",5,1,TRUE,FALSE,444,"Non-teaching","Unknown","Midwest",0.1,10,0.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","444","dr",5,1,TRUE,FALSE,444,"Non-teaching","Unknown","Midwest",0.1,10,0.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA
