"outcome","modifier","scale","method","k","estimate","ci_lo","ci_hi","p","tau2","q","q_df","i2_percent","databases"
"aki1_48h","eGFR_per_30","OR","REML_random_effects_normal_CI",3,0.513912906448536,0.405366475772736,0.651525202992981,3.8131586540184e-08,0.0340288951084349,11.2597710026253,2,82.2376494199244,"MIMIC+EICU+IUH"
"aki1_48h","eGFR_per_30","RD","REML_random_effects_normal_CI",3,-0.129749226874464,-0.19393797794934,-0.0655604757995868,7.4360188647504e-05,0.00289112017891439,26.2565656078175,2,92.382857568377,"MIMIC+EICU+IUH"
"aki1_7d","eGFR_per_30","OR","REML_random_effects_normal_CI",3,0.565127886657404,0.442965422118113,0.720980718428866,4.37730905181222e-06,0.0359588395565759,11.3921089519666,2,82.4439881286884,"MIMIC+EICU+IUH"
"aki1_7d","eGFR_per_30","RD","REML_random_effects_normal_CI",3,-0.119575180455588,-0.181287308461898,-0.0578630524492777,0.000146014339367102,0.00257527666075064,20.3920539178291,2,90.192258180274,"MIMIC+EICU+IUH"
