"db","outcome","scale","egfr","n_pairs","events_trt","events_ctl","estimate","ci_lo","ci_hi","p","egfr_cell","sparse_lt20"
"MIMIC","aki1_48h","OR",100,4690,1658,1180,1.02202920881309,0.902858681332262,1.15692934593681,0.73048443761061,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",102,4690,1658,1180,0.974375502470488,0.857918123980662,1.10664129044092,0.689367899484064,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",104,4690,1658,1180,0.929669117135432,0.812383905544949,1.06388698921307,0.289181820071786,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",106,4690,1658,1180,0.887692463633084,0.765850511299966,1.02891869674855,0.113756680573578,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",108,4690,1658,1180,0.848246006548039,0.718483058570942,1.00144502927573,0.0520217820011529,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",110,4690,1658,1180,0.811146612161943,0.670834488633691,0.980806499322782,0.0307727934135919,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",112,4690,1658,1180,0.776226060333918,0.623584295737457,0.966231672061212,0.0233599557424082,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",114,4690,1658,1180,0.743329702897265,0.57735576698882,0.957016589772863,0.0214033801861104,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",116,4690,1658,1180,0.712315253114205,0.532641796923456,0.952597078843346,0.0221688441669902,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",118,4690,1658,1180,0.683051692464194,0.48979823393724,0.952554709778685,0.0246743369438673,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",120,4690,1658,1180,0.655418282569743,0.449063758225125,0.956597180820183,0.0285231127265347,"G1_ge90",FALSE
"MIMIC","aki1_48h","RD",30,4690,1658,1180,0.493064035477595,0.41156686405409,0.574561206901099,1.9524629212418e-32,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","RD",32,4690,1658,1180,0.47653345230237,0.40283978309824,0.5502271215065,8.22318815111779e-37,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","RD",34,4690,1658,1180,0.460076731597238,0.393473726737468,0.526679736457009,9.18019636789101e-42,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","RD",36,4690,1658,1180,0.443698489766581,0.383398472376128,0.503998507157033,3.76080774897798e-47,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","RD",38,4690,1658,1180,0.427403343214778,0.372546578727903,0.482260107701653,1.19566028413514e-52,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","RD",40,4690,1658,1180,0.411195908346211,0.360864363795148,0.461527452897274,1.04186796566908e-57,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","RD",42,4690,1658,1180,0.39508080156526,0.348328024864414,0.441833578266107,1.29359985757599e-61,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","RD",44,4690,1658,1180,0.379062639276307,0.33496165174006,0.423163626812555,1.10651547089516e-63,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","RD",46,4690,1658,1180,0.363146037883732,0.320849749990899,0.405442325776565,1.51894383011717e-63,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","RD",48,4690,1658,1180,0.347335613791916,0.306136264668807,0.388534962915024,2.46518122678864e-61,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","RD",50,4690,1658,1180,0.331635983405239,0.291008098955424,0.372263867855054,1.29792386978872e-57,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","RD",52,4690,1658,1180,0.316051763128083,0.275669832853369,0.356433693402797,4.12778224546575e-53,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","RD",54,4690,1658,1180,0.300587569364828,0.260319843864041,0.340855294865616,1.78504467504283e-48,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","RD",56,4690,1658,1180,0.285248018519856,0.245134285411306,0.325361751628406,3.74715789040279e-44,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","RD",58,4690,1658,1180,0.270037726997547,0.230259447731845,0.309816006263248,2.14756902339899e-40,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","RD",60,4690,1658,1180,0.254961311202281,0.215809511980855,0.294113110423708,2.61278154858713e-37,"G2_60_89",FALSE
"MIMIC","aki1_48h","RD",62,4690,1658,1180,0.240025232582296,0.201853946289541,0.278196518875052,6.66954677924403e-35,"G2_60_89",FALSE
"MIMIC","aki1_48h","RD",64,4690,1658,1180,0.22524333276125,0.188381524854477,0.262105140668023,4.71596058461642e-33,"G2_60_89",FALSE
"MIMIC","aki1_48h","RD",66,4690,1658,1180,0.210631298406657,0.175342025178746,0.245920571634569,1.29476096386398e-31,"G2_60_89",FALSE
"MIMIC","aki1_48h","RD",68,4690,1658,1180,0.196204816186031,0.162664959833976,0.229744672538087,1.95930047632802e-30,"G2_60_89",FALSE
"MIMIC","aki1_48h","RD",70,4690,1658,1180,0.181979572766887,0.150264706814125,0.213694438719649,2.41075281386308e-29,"G2_60_89",FALSE
"MIMIC","aki1_48h","RD",72,4690,1658,1180,0.167971254816739,0.138045773477149,0.197896736156328,3.76039881387894e-28,"G2_60_89",FALSE
"MIMIC","aki1_48h","RD",74,4690,1658,1180,0.1541955490031,0.125910240786064,0.182480857220137,1.19888274674029e-26,"G2_60_89",FALSE
"MIMIC","aki1_48h","RD",76,4690,1658,1180,0.140668141993486,0.113769259281167,0.167567024705805,1.18525266123651e-24,"G2_60_89",FALSE
"MIMIC","aki1_48h","RD",78,4690,1658,1180,0.12740472045541,0.10155899087218,0.15325045003864,4.38597345512429e-22,"G2_60_89",FALSE
"MIMIC","aki1_48h","RD",80,4690,1658,1180,0.114420971056387,0.0892579299198529,0.139584012192921,4.99035180347314e-19,"G2_60_89",FALSE
"MIMIC","aki1_48h","RD",82,4690,1658,1180,0.101732580463931,0.0768986711790663,0.126566489748795,9.81285560849597e-16,"G2_60_89",FALSE
"MIMIC","aki1_48h","RD",84,4690,1658,1180,0.089355235345555,0.0645671711844593,0.114143299506651,1.60215753448112e-12,"G2_60_89",FALSE
"MIMIC","aki1_48h","RD",86,4690,1658,1180,0.0773046223687748,0.0523884450549036,0.102220799682646,1.19381915860443e-09,"G2_60_89",FALSE
