"db","database_role","analysis_set","variant","stratum","variable_code","variable","raw_smd","smd","raw_comparison"
"IUH","external_validation","primary","egfr_reported","G2","last_lactate_missing","baseline (at ICU T0): lactate missing",0.553705357810958,0.096808882181508,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G2","last_heartrate","baseline (at ICU T0): heart rate",0.356112339574759,0.121334288180232,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G2","last_hemoglobin","baseline (at ICU T0): hemoglobin",0.341780008417383,0.0496580652844945,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G2","alb_cat","baseline (at ICU T0): serum albumin category",0.542587778292033,0.0707089104179903,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G2","vaso_at_t0","baseline (at ICU T0): vasopressor status",0.180777819905677,0.0860191165060777,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G2","map_before_t0","baseline (at ICU T0): MAP",0.596391084368382,0.0168298719607902,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G2","vent_at_t0","baseline (at ICU T0): ventilation status",0.0221851152075497,0.0339735245705432,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G2","surg_aortic","aortic surgery",0.274021450989777,0.084277282085951,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G3plus","age","age",0.264211237266148,0.1478483624467,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G3plus","is_female","sex",0.122783473045798,0.0295089798576804,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G3plus","bmi","BMI",0.0236871232473162,0.0342281712153151,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G3plus","surg_cabg","CABG surgery",0.255864918197967,0.111694522800279,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G3plus","surg_valve","valve surgery",0.058480855127792,0.0816981835524895,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G3plus","surg_combined","combined surgery",0.131499539942997,0.226812793557373,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G3plus","heart_failure","heart failure",0.107688800451558,0.0220458047527383,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G3plus","hypertension","hypertension",0.170654037751655,0.0884079062943754,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G3plus","diabetes","diabetes",0.00253992917090967,0.108747957929038,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G3plus","copd","COPD",0.216972661190546,0.0667056264595295,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G3plus","pvd","peripheral vascular disease",0.0956150867514603,0.0104170803085059,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G3plus","stroke","stroke",0.0557434293087249,0.0411830126621096,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G3plus","liver_disease","liver disease",0.138138287190946,0.0686236682047351,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G3plus","last_lactate","baseline (at ICU T0): lactate",0.124121046842549,0.351961234990211,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G3plus","last_lactate_missing","baseline (at ICU T0): lactate missing",0.549519960824408,0.115526487940121,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G3plus","last_heartrate","baseline (at ICU T0): heart rate",0.258567063841503,0.164236264816084,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G3plus","last_hemoglobin","baseline (at ICU T0): hemoglobin",0.0989862157576302,0.157014128780436,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G3plus","alb_cat","baseline (at ICU T0): serum albumin category",0.614917363568459,0.0905803046930921,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G3plus","vaso_at_t0","baseline (at ICU T0): vasopressor status",0.142164446618308,0.0155282088061342,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G3plus","map_before_t0","baseline (at ICU T0): MAP",0.314743584333187,0.0839229624164507,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G3plus","vent_at_t0","baseline (at ICU T0): ventilation status",0.193048311480201,0.317088732869958,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G3plus","surg_aortic","aortic surgery",0.192351122606245,0,"eligible ever-treated vs never-treated source cohort"
