"variant","stratum","n_pairs","mean_trt","mean_ctl","smd"
"egfr","G1",529,102.643032266948,101.367646980158,0.121621151403482
"egfr","G2",593,75.8570146378721,75.6730504884695,0.0215310610172685
"egfr","G3plus",253,47.4174561583983,46.088175767548,0.131973343714429
"egfr_reported","G1",474,90,90,0
"egfr_reported","G2",623,75.5361155698234,76.4173354735153,0.10311830704439
"egfr_reported","G3plus",277,47.0938628158845,45.158844765343,0.185968730048945
